latitude,longitude,velocity,time,voltage,current
4744.23339844,1143.12084961,1.10399997,2739.00000000,16.40399933,-52.29999924
4744.23339844,1143.12084961,1.10399997,2940.00000000,16.40399933,-51.29999924
4744.23339844,1143.12084961,1.10399997,3141.00000000,16.40399933,-53.50000000
4744.23339844,1143.12084961,1.10399997,3342.00000000,16.40800095,-53.29999924
4744.23779297,1143.12377930,0.15300000,3543.00000000,16.40399933,-51.70000076
4744.23779297,1143.12377930,0.15300000,3744.00000000,16.40399933,-56.79999924
4744.23779297,1143.12377930,0.15300000,3946.00000000,16.40399933,-54.09999847
4744.23779297,1143.12377930,0.15300000,4148.00000000,16.40399933,-53.59999847
4744.23779297,1143.12377930,0.15300000,4350.00000000,16.40399933,-55.40000153
4744.23779297,1143.12377930,0.15300000,4551.00000000,16.40399933,-54.00000000
4744.23779297,1143.12377930,0.15300000,4753.00000000,16.40800095,-45.40000153
4744.23779297,1143.12377930,0.15300000,4954.00000000,16.40399933,-57.00000000
4744.23779297,1143.12377930,0.15300000,5157.00000000,16.40399933,-88.69999695
4744.23779297,1143.12377930,0.15300000,5359.00000000,16.40800095,-54.79999924
4744.23779297,1143.12377930,0.15300000,5561.00000000,16.40399933,-58.20000076
4744.23779297,1143.12377930,0.15300000,5762.00000000,16.40800095,-56.20000076
4744.23779297,1143.12377930,0.15300000,5964.00000000,16.40399933,-79.50000000
4744.23779297,1143.12377930,0.15300000,6165.00000000,16.40399933,-81.80000305
4744.23779297,1143.12377930,0.15300000,6367.00000000,16.40399933,-53.59999847
4744.23779297,1143.12402344,0.05200000,6569.00000000,16.40399933,-53.90000153
4744.23779297,1143.12402344,0.05200000,6770.00000000,16.40399933,-82.40000153
4744.23779297,1143.12402344,0.05200000,6972.00000000,16.40399933,-56.79999924
4744.23779297,1143.12402344,0.05200000,7174.00000000,16.40399933,-55.50000000
4744.23779297,1143.12402344,0.05200000,7376.00000000,16.39999962,-53.50000000
4744.23779297,1143.12414551,0.02600000,7578.00000000,16.40399933,-56.50000000
4744.23779297,1143.12414551,0.02600000,7780.00000000,16.40399933,-54.79999924
4744.23779297,1143.12414551,0.02600000,7982.00000000,16.39999962,-85.19999695
4744.23779297,1143.12414551,0.02600000,8184.00000000,16.40800095,-57.59999847
4744.23779297,1143.12414551,0.02600000,8385.00000000,16.40399933,-56.50000000
4744.23779297,1143.12426758,0.05000000,8586.00000000,16.40399933,-61.79999924
4744.23779297,1143.12426758,0.05000000,8788.00000000,16.40399933,-92.00000000
4744.23779297,1143.12426758,0.05000000,8989.00000000,16.40800095,-37.79999924
4744.23779297,1143.12426758,0.05000000,9191.00000000,16.40399933,-107.09999847
4744.23779297,1143.12426758,0.05000000,9393.00000000,16.40800095,-91.40000153
4744.23779297,1143.12426758,0.05000000,9594.00000000,16.40399933,-57.00000000
4744.23779297,1143.12426758,0.05000000,9795.00000000,16.40399933,-58.90000153
4744.23779297,1143.12426758,0.05000000,9996.00000000,16.40399933,-89.69999695
4744.23779297,1143.12426758,0.05000000,10198.00000000,16.40399933,-58.70000076
4744.23779297,1143.12426758,0.05000000,10399.00000000,16.40399933,-53.70000076
4744.23779297,1143.12426758,0.05000000,10601.00000000,16.40399933,-40.20000076
4744.23779297,1143.12426758,0.05000000,10802.00000000,16.40399933,-79.69999695
4744.23779297,1143.12426758,0.05000000,11004.00000000,16.40399933,-31.39999962
4744.23779297,1143.12426758,0.05000000,11205.00000000,16.40399933,-78.40000153
4744.23779297,1143.12426758,0.05000000,11406.00000000,16.40399933,-79.59999847
4744.23730469,1143.12316895,0.05200000,11607.00000000,16.40399933,-52.90000153
4744.23730469,1143.12316895,0.05200000,11808.00000000,16.40399933,-53.20000076
4744.23730469,1143.12316895,0.05200000,12009.00000000,16.40800095,-56.09999847
4744.23730469,1143.12316895,0.05200000,12210.00000000,16.40800095,-56.70000076
4744.23730469,1143.12316895,0.05200000,12411.00000000,16.40399933,-81.59999847
4744.23730469,1143.12280273,0.11500000,12612.00000000,16.40800095,-53.20000076
4744.23730469,1143.12280273,0.11500000,12813.00000000,16.40399933,-55.29999924
4744.23730469,1143.12280273,0.11500000,13014.00000000,16.40800095,-61.50000000
4744.23730469,1143.12280273,0.11500000,13215.00000000,16.40399933,-37.50000000
4744.23730469,1143.12280273,0.11500000,13417.00000000,16.39999962,-99.30000305
4744.23730469,1143.12292480,0.56699997,13618.00000000,16.40399933,-91.00000000
4744.23730469,1143.12292480,0.56699997,13819.00000000,16.40399933,-61.90000153
4744.23730469,1143.12292480,0.56699997,14020.00000000,16.40399933,-93.59999847
4744.23730469,1143.12292480,0.56699997,14221.00000000,16.40399933,-61.59999847
4744.23730469,1143.12292480,0.56699997,14423.00000000,16.40399933,-60.79999924
