latitude,longitude,velocity,time,voltage,current
4753.64111328,1132.20678711,0.57200003,2434.00000000,0.99599999,0.30000001
4753.64013672,1132.20837402,0.24900000,2937.00000000,0.99599999,0.20000000
4753.64013672,1132.20837402,0.24900000,3439.00000000,0.98799998,0.50000000
4753.63964844,1132.20922852,0.17200001,3940.00000000,0.99199998,0.40000001
4753.63964844,1132.20922852,0.17200001,4441.00000000,0.98799998,0.10000000
4753.63867188,1132.20971680,0.01900000,4943.00000000,0.98400003,0.30000001
4753.63867188,1132.20971680,0.01900000,5445.00000000,0.98400003,0.30000001
4753.63867188,1132.20971680,0.04700000,5946.00000000,0.98000002,0.40000001
4753.63867188,1132.20971680,0.04700000,6447.00000000,0.98400003,0.30000001
4753.63867188,1132.20959473,0.24800000,6948.00000000,0.98400003,0.10000000
4753.63867188,1132.20959473,0.24800000,7449.00000000,0.98000002,0.50000000
4753.63916016,1132.20971680,0.03700000,7950.00000000,0.98000002,0.20000000
4753.63916016,1132.20971680,0.03700000,8452.00000000,0.98000002,0.40000001
4753.63867188,1132.20996094,0.28900000,8953.00000000,0.98000002,0.30000001
4753.63867188,1132.20996094,0.28900000,9455.00000000,0.98000002,0.40000001
4753.64892578,1132.20886230,0.01100000,2527.00000000,16.62400055,-54.59999847
4753.64892578,1132.20886230,0.01100000,3029.00000000,16.60400009,-7.69999981
4753.64746094,1132.20825195,0.01900000,3530.00000000,16.52000046,-16.50000000
4753.64746094,1132.20825195,0.01900000,4031.00000000,16.59600067,-267.60000610
4753.64648438,1132.20861816,0.05200000,4532.00000000,16.69199944,-54.59999847
4753.64648438,1132.20861816,0.05200000,5033.00000000,16.69199944,-7.90000010
4753.64550781,1132.20886230,0.02200000,5534.00000000,16.68799973,-67.30000305
4753.64550781,1132.20886230,0.02200000,6035.00000000,16.69199944,-74.30000305
4753.64453125,1132.20947266,0.02000000,6536.00000000,16.68799973,-93.90000153
4753.64355469,1132.21008301,0.02000000,7038.00000000,16.67600060,-350.10000610
4753.64355469,1132.21008301,0.02000000,7539.00000000,16.68400002,-32.59999847
4753.64355469,1132.21008301,0.02000000,8040.00000000,16.68799973,-35.00000000
4753.64306641,1132.21044922,0.02900000,8541.00000000,16.67200089,-59.70000076
4753.64306641,1132.21044922,0.03000000,9042.00000000,16.68000031,-61.29999924
4753.64306641,1132.21044922,0.03000000,9543.00000000,16.68000031,-59.59999847
4753.64306641,1132.21044922,0.03000000,10044.00000000,16.63599968,-66.09999847
4753.64257812,1132.21423340,0.07900000,4029.00000000,0.98799998,0.50000000
4753.64257812,1132.21423340,0.07900000,4530.00000000,0.98799998,0.40000001
4753.64208984,1132.21374512,0.03300000,5032.00000000,0.98799998,0.40000001
4753.64208984,1132.21374512,0.03300000,5533.00000000,0.98400003,0.10000000
4753.64257812,1132.21411133,0.01300000,6034.00000000,0.98400003,0.30000001
4753.64257812,1132.21411133,0.01300000,6535.00000000,0.98000002,0.50000000
4753.64257812,1132.21411133,0.12100000,7036.00000000,0.98400003,0.30000001
4753.64257812,1132.21411133,0.12100000,7537.00000000,0.98000002,0.30000001
