Iteration,Frequency,Heave Amplitude,Pitch Amplitude,Camber Amplitude,Pitch Phase,Camber Phase,Turn Rate,Function Value
1,0.7983108865633213,38,43.31393398346648,0,-1.1676892335018199,0,0,-0.1767
2,0.799424309194487,38,25.902224423799403,0,-0.3247365162904776,0,0,-0.2238
3,0.4327464446972046,38,36.743650920087006,0,1.3675926823309406,0,0,0.0171
4,0.8,38,21.510621252801446,0,1.57,0,0,-0.1222
5,0.7588602834626377,38,26.976016091192257,0,-0.1468057391469768,0,0,-0.2115
6,0.2,38,20.0,0,-1.57,0,0,-0.0659
7,0.8,38,45.0,0,-0.0035707150369570506,0,0,-0.1923
8,0.8,38,20.0,0,-0.7360829780255181,0,0,-0.1718
9,0.4289989186032005,38,36.326088310805176,0,-0.35323559146505423,0,0,-0.2184
10,0.3533078555751178,38,20.680379585587776,0,0.44059392648300455,0,0,-0.1186
11,0.2,38,20.449396845508012,0,-0.2850202370654844,0,0,-0.0693
12,0.5542881400594291,38,41.37158483267726,0,-0.43185905007320713,0,0,-0.1938
13,0.8,38,32.07048766428068,0,-0.6635372067736304,0,0,-0.1982
14,0.460462857016484,38,45.0,0,-0.9218269447654455,0,0,-0.1850
15,0.6199340060242433,38,24.465400174354066,0,-1.57,0,0,-0.1032
16,0.2,38,45.0,0,-0.1844822666326753,0,0,-0.1469
17,0.8,38,34.36811408536884,0,-0.11467124688562036,0,0,-0.2089
18,0.41437797823333666,38,45.0,0,-0.20073092201631026,0,0,-0.1900
19,0.53125681317217,38,20.0,0,-0.27866876756696635,0,0,-0.2189
20,0.8,38,20.0,0,0.16692942057972227,0,0,-0.2118
21,0.47062350246125445,38,24.920888285337853,0,-0.5384569856932395,0,0,-0.2044
22,0.6178423221419663,38,20.0,0,0.012133470463473683,0,0,-0.1941
23,0.8,38,45.0,0,-0.5195521791725861,0,0,-0.1890
24,0.49127886830654716,38,28.605140790085443,0,-0.18246207647277934,0,0,-0.2143
25,0.2,38,45.0,0,-1.57,0,0,-0.1079
26,0.8,38,45.0,0,0.8795703174411955,0,0,-0.2168
27,0.8,38,33.79183073161284,0,0.6164736412484568,0,0,-0.2757
28,0.8,38,20.0,0,0.7290971022176584,0,0,-0.2259
29,0.8,38,41.32110893004169,0,0.5126711402694186,0,0,-0.2321
30,0.8,38,31.6548371904044,0,0.7565615788135844,0,0,-0.2461
31,0.6883588332373995,38,33.0878870478468,0,0.5625594052997795,0,0,-0.2326
32,0.79888424769606,38,29.62981881438878,0,0.4936581385095973,0,0,-0.2488
33,0.7963316487042957,38,44.6762950561329,0,1.485839462729506,0,0,-0.0945
34,0.516270503417473,38,44.91627850440568,0,0.39280949607187976,0,0,-0.1982
35,0.7516677160351979,38,44.79366957465342,0,-1.5674337748858298,0,0,-0.1615
36,0.21085379986364888,38,44.016981158993914,0,0.6706736325467426,0,0,-0.0600
37,0.20008743314146826,38,44.70635765268991,0,-0.8307340061753473,0,0,-0.1210
38,0.7959909860877141,38,29.82968359268026,0,0.8466868411199944,0,0,-0.2329
39,0.7954553925481695,38,32.963354498674676,0,0.45814457885234794,0,0,-0.2604
40,0.47359739683724317,38,44.57151497818272,0,-1.5659910906950618,0,0,-0.1203
41,0.6452341460491013,38,20.042723611292693,0,0.728227811520979,0,0,-0.1796
42,0.7883434789592585,38,44.68204675436047,0,0.5296450049127273,0,0,-0.2507
43,0.6640447133936225,38,35.34216271759995,0,0.23043535126970394,0,0,-0.2468
44,0.7921844375944165,38,34.41187637717134,0,0.41986926619355236,0,0,-0.2847
45,0.7989929552964024,38,34.37835070479552,0,0.34749517961304055,0,0,-0.2707
46,0.2077263847825193,38,21.504993271314586,0,1.5405436359090474,0,0,-0.0026
47,0.7974089669902753,38,28.37346239120872,0,0.4272831717045882,0,0,-0.2409
