Iteration,Frequency,Heave Amplitude,Pitch Amplitude,Camber Amplitude,Pitch Phase,Camber Phase,Turn Rate,Function Value
1,0.7983108865633213,38,43.65114718677318,0,-1.3022199038276445,0,0,-0.1560
2,0.799424309194487,38,29.721779539039524,0,-0.7411462799513053,0,0,-0.1806
3,0.4327464446972046,38,38.3949207360696,0,0.38527665798460675,0,0,-0.1437
4,0.4668772619873997,38,27.45871106827007,0,-0.6991661527877667,0,0,-0.2018
5,0.24871291880516283,38,25.0,0,0.5187682923693566,0,0,-0.0656
6,0.2926215822434064,38,25.0,0,-0.5587964192003194,0,0,-0.1350
7,0.217743582057951,38,42.95407302609114,0,-0.6814304837013664,0,0,-0.1096
8,0.4860745797195008,38,34.68768971699711,0,-1.3063678827991214,0,0,-0.1437
9,0.45771453499299464,38,26.093403063951843,0,-1.1241514781616095,0,0,-0.1486
10,0.7170391029838787,38,25.61188400741828,0,0.14116319163397617,0,0,-0.2153
11,0.5912945163383505,38,41.22208804210247,0,-0.3164276196632214,0,0,-0.1753
12,0.8,38,26.562781198805883,0,0.5199999999999998,0,0,-0.2254
13,0.8,38,42.60767974592885,0,0.5199999999999998,0,0,-0.2221
14,0.8,38,25.0,0,0.13206396025554978,0,0,-0.2164
15,0.7053179453481142,38,25.0,0,0.5199999999999998,0,0,-0.2567
16,0.633847012943555,38,25.0,0,0.5199999999999998,0,0,-0.2314
17,0.2,38,27.163326763641717,0,-1.57,0,0,-0.0741
18,0.6404660586737749,38,28.09185474968464,0,-1.0201299372502506,0,0,-0.1532
19,0.4517582644467311,38,26.178070087905382,0,-0.22846601374176134,0,0,-0.2218
20,0.6465586970043036,38,28.489537847054418,0,-1.5668136410070477,0,0,-0.0826
21,0.7395569301592415,38,27.160659053511203,0,0.5199999999999998,0,0,-0.1431
22,0.5993898309953927,38,27.404069965518858,0,0.517975034243024,0,0,-0.1465
23,0.8,38,44.127518946669845,0,-0.15587251238011413,0,0,-0.1254
24,0.7900870313103159,38,40.30878876751068,0,0.5188686898727888,0,0,-0.1565
25,0.6395269877401457,38,44.46758386017366,0,0.5083011103317003,0,0,-0.1431
26,0.7893473541355422,38,25.331086040497986,0,-0.28997886877833534,0,0,-0.1480
27,0.7913713423594393,38,25.380368823176095,0,0.5199999999999998,0,0,-0.1457
