Iteration,Frequency,Heave Amplitude,Pitch Amplitude,Camber Amplitude,Pitch Phase,Camber Phase,Turn Rate,Function Value
1,0.29999999999999993,38,60.0,0,0.0,0,0,-0.2890
2,0.4371378472900074,38,62.21328742905088,0,1.123949239335457,0,0,-0.0530
3,0.5389006955136502,38,51.17818483929862,0,-0.36304143910092224,0,0,-0.4950
4,0.3190138426177889,38,22.83564886587216,0,-0.7138592350184444,0,0,-0.3110
5,0.5669661000115924,38,41.61125623944212,0,-0.33474723394386596,0,0,-1.3190
6,0.5755170819873499,38,28.517237576663483,0,-0.787349518455673,0,0,-1.5100
7,0.6,38,45.792537890172206,0,0.47346395649784667,0,0,-0.9410
8,0.5804912198930485,38,58.441010561537226,0,1.57,0,0,0.1450
9,0.6,38,33.26929614006035,0,-1.57,0,0,-0.9050
10,0.5926448456034678,38,31.518119587630032,0,-0.0912729282443896,0,0,-1.0570
11,0.6,38,26.003777164139294,0,-0.8626372826949631,0,0,-1.2020
12,0.4592380621385604,38,28.629856922261652,0,-1.2263811957994621,0,0,-0.9910
13,0.3647954528056332,38,41.36360338064877,0,0.6823985853380614,0,0,-0.3280
14,0.5674083427800152,38,20.0,0,0.9085487224593385,0,0,-0.5230
15,0.5518632563441486,38,28.01072096103904,0,1.325988753326295,0,0,-0.0570
16,0.6,38,70.0,0,-1.033292649233559,0,0,-1.2000
17,0.2,38,63.71696670784745,0,-1.57,0,0,-0.1820
18,0.6,38,24.46357380393564,0,-1.57,0,0,-0.8430
19,0.2,38,27.504269833525598,0,1.57,0,0,0.0360
20,0.5704011531882988,38,69.83088262950216,0,-1.1003374300352027,0,0,-1.1540
21,0.6,38,26.848767122978927,0,-0.6179952768415709,0,0,-0.5840
22,0.6,38,61.84749113312627,0,-1.57,0,0,-1.2350
23,0.6,38,39.34805688484513,0,-1.57,0,0,-0.9400
24,0.4610910113952613,38,31.961827415462043,0,-1.558964191122492,0,0,-0.6990
25,0.5993535747363337,38,44.744486445844785,0,-0.5977542762001921,0,0,-1.0220
26,0.5986355365077831,38,21.26536339623728,0,-1.555001902570123,0,0,-0.7960
27,0.5996002209298437,38,63.54161735882658,0,-0.4742793031745871,0,0,-0.8000
28,0.5956905160948598,38,41.71733994054128,0,-1.5685897453137765,0,0,-0.9820
29,0.5998942215391097,38,45.8424198945379,0,-0.19904238367833016,0,0,-0.9490
30,0.5979109294496008,38,63.270057821051,0,-1.5651480585716462,0,0,-1.1990
31,0.45134414210294405,38,37.926675651109676,0,-1.5690903242083345,0,0,-0.7280
32,0.599971493132994,38,20.6122394217351,0,-0.9197494064652071,0,0,-1.0100
33,0.5984907970331661,38,40.76165765953015,0,-1.5584759431880768,0,0,-1.1100
34,0.598431533769409,38,63.690955245834225,0,-1.564640621867491,0,0,-1.0460
35,0.5995630889989729,38,22.471197275496884,0,-0.7961732728364144,0,0,-0.9560
