Iteration,Frequency,Heave Amplitude,Pitch Amplitude,Camber Amplitude,Pitch Phase,Camber Phase,Turn Rate,Function Value
1,0.31104924690392416,38,43.288521645527794,0,1.4058741201975378,0,0,-0.0180
2,0.49084945807025354,38,28.013410927790183,0,-1.0851002464995034,0,0,-1.0620
3,0.6193176148203209,38,22.998763564909748,0,-0.046547643856423626,0,0,-1.1610
4,0.2,38,20.0,0,-1.57,0,0,-0.1310
5,0.5617429736311341,38,45.0,0,1.57,0,0,-0.0150
6,0.7323371909584588,38,27.789249184953825,0,-0.2801268543350657,0,0,-1.5420
7,0.6263458763900591,38,31.430615840431678,0,-0.19939797574972284,0,0,-1.2810
8,0.8,38,45.0,0,-0.9656719592162755,0,0,-1.8050
9,0.8,38,45.0,0,-1.57,0,0,-1.6160
10,0.8,38,20.0,0,-0.8039379770326306,0,0,-1.7020
11,0.8,38,45.0,0,-0.6971071505711871,0,0,-1.7490
12,0.8,38,45.0,0,-0.9475290012657692,0,0,-1.6840
13,0.8,38,45.0,0,-0.3938902806604694,0,0,-1.4520
14,0.8,38,20.0,0,-1.1329047127421576,0,0,-1.6750
15,0.8,38,20.0,0,-1.120940186688743,0,0,-1.3730
