Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,20
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,52.872,89.109,77.660,0.000,0.000,1.379,6.723,1.349,0.029,0.068,0.987,89.009,inf
max,150.000,150.000,150.000,0.000,0.000,2.640,7.000,2.600,0.040,0.130,2.643,149.900,inf
min,0.000,30.000,0.000,0.000,0.000,0.250,6.500,0.230,0.010,0.010,0.000,29.900,inf
std. dev,49.713,59.190,63.194,0.000,0.000,0.597,0.119,0.591,0.009,0.030,0.881,59.190,

Complete Data:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
95.207,3.000,30.000,150.000,0.000,0.000,0.040,6.800,0.030,0.010,0.000,1.080,29.900,inf
95.277,,30.000,150.000,0.000,0.000,0.090,6.600,0.070,0.010,0.000,,29.900,inf
95.347,,30.000,150.000,0.000,0.000,0.090,6.600,0.070,0.010,0.000,,29.900,inf
95.416,30.000,150.000,0.000,0.000,,0.090,6.600,0.070,0.010,0.000,,149.900,inf
95.486,101.560,30.000,150.000,0.000,0.000,0.040,7.200,0.030,0.010,0.000,1.426,29.900,inf
95.555,,30.000,150.000,0.000,0.000,0.040,7.200,0.030,0.010,0.000,,29.900,inf
95.625,,30.000,150.000,0.000,0.000,0.370,6.800,0.360,0.010,0.020,,29.900,inf
95.694,130.740,30.000,150.000,0.000,0.000,0.370,6.800,0.360,0.010,0.020,,29.900,inf
95.765,133.000,94.520,85.480,0.000,0.000,0.370,6.800,0.360,0.010,0.020,0.045,94.420,inf
95.834,,150.000,30.000,0.000,0.000,1.260,6.700,1.220,0.030,0.060,,149.900,inf
95.918,,,,,,1.260,6.700,1.220,0.030,0.060,,,
95.973,,,,,,1.260,6.700,1.220,0.030,0.060,,,
96.042,150.000,30.000,0.000,0.000,,0.770,6.700,0.760,0.020,0.040,,29.900,inf
