Used Parameters:
Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,65
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Statistical Evaluation:
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
average,59.071,259.136,402.592,5639.440,0.000,0.440,23.342,0.343,0.098,0.013,0.982,259.036,0.07802193125558567
max,150.000,7274.000,11642.000,13986.000,0.000,2.000,24.100,1.700,0.650,0.080,2.816,7273.900,inf
min,0.000,30.000,0.000,0.000,0.000,-1.580,21.200,-1.560,-0.020,-0.080,0.000,29.900,-inf
std. dev,49.808,1029.079,1608.560,3143.086,0.000,0.942,0.661,0.845,0.148,0.040,0.806,1029.079,
Complete Data:,,,,,,,,,,,,,
Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise,Fx,Fz,Mx,My,Mz,Inflow_velocity,Angle_of_attack,Efficiency
251.324,58.890,30.000,150.000,9140.000,0.000,-0.030,21.800,-0.020,-0.010,-0.000,0.036,29.900,-0.003
251.394,,30.000,150.000,8812.000,0.000,-0.010,23.800,0.000,-0.010,0.000,,29.900,-0.001
251.468,73.030,30.000,150.000,3286.000,0.000,-0.010,23.800,0.000,-0.010,0.000,,29.900,-0.003
251.537,83.620,30.000,150.000,5116.000,0.000,-0.010,23.800,0.000,-0.010,0.000,0.211,29.900,-0.002
251.611,95.480,30.000,150.000,1648.000,0.000,-0.520,23.500,-0.530,0.000,-0.030,0.224,29.900,-0.316
251.685,7.440,30.000,150.000,1652.000,0.000,-0.520,23.500,-0.530,0.000,-0.030,1.653,29.900,-0.315
251.754,7.000,30.000,150.000,3536.000,0.000,-0.550,22.600,-0.540,-0.010,-0.030,0.009,29.900,-0.156
251.828,126.280,30.000,150.000,1926.000,0.000,-0.550,22.600,-0.540,-0.010,-0.030,2.246,29.900,-0.286
251.902,131.440,30.000,150.000,5938.000,0.000,-0.550,22.600,-0.540,-0.010,-0.030,0.097,29.900,-0.093
251.972,132.980,120.530,59.470,5298.000,0.000,0.100,23.800,0.090,0.000,0.000,0.030,120.430,0.019
252.045,130.750,150.000,30.000,7408.000,0.000,0.100,23.800,0.090,0.000,0.000,0.042,149.900,0.013
252.115,85.000,150.000,30.000,3516.000,0.000,0.100,23.800,0.090,0.000,0.000,0.910,149.900,0.028
252.189,116.040,150.000,30.000,1914.000,0.000,1.240,23.800,1.060,0.170,0.050,0.582,149.900,0.648
252.262,105.140,150.000,30.000,5970.000,0.000,1.240,23.800,1.060,0.170,0.050,0.207,149.900,0.208
