RX Date/Time,Fx(field 1),Fz(field 2),Mx(field 3),My(field 4),Mz(field 5)
2024/09/19/ 19:42:30::569,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:30::651,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:30::801,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:30::827,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::129,-0.29,15.10,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::161,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::161,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::215,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::342,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::366,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::556,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::556,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::719,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::762,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::922,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::922,-0.29,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:31::981,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::090,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::219,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::334,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::517,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::522,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::561,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::647,-0.28,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::752,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::854,-0.29,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:32::981,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::089,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::164,-0.28,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::225,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::328,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::406,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::498,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::705,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::705,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::813,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::879,-0.28,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:33::971,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::076,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::165,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::292,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::406,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::638,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::638,-0.29,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::638,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::738,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::848,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:34::930,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::039,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::125,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::247,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::294,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::402,-0.28,15.60,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::513,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::607,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::695,-0.29,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::807,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::941,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:35::964,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::074,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::167,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::260,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::372,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::494,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::523,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::642,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::726,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::819,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:36::920,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::033,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::125,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::245,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::293,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::392,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::488,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::594,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::694,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::796,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:37::904,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::002,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::108,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::156,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::231,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::331,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::420,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::545,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::673,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::703,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::810,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::909,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:38::994,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::124,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::247,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::294,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::370,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::471,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::565,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::654,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::748,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::895,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:39::992,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::097,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::169,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::231,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::324,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::439,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::533,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::604,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::742,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::790,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::894,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:40::988,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::091,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::176,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::327,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::417,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::494,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::632,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::651,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::737,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::841,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:41::922,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::051,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::201,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::213,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::327,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::431,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::535,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::606,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::754,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::784,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::874,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:42::967,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::077,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::200,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::319,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::403,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::437,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::545,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::632,-0.28,15.00,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::735,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::824,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:43::946,-0.28,15.50,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::053,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::139,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::285,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::297,-0.28,15.40,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::409,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::494,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::583,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::709,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::825,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::860,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:44::964,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:45::072,-0.28,15.20,-0.25,-0.03,-0.01
2024/09/19/ 19:42:45::155,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:45::288,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:45::356,-0.28,15.30,-0.25,-0.03,-0.01
2024/09/19/ 19:42:45::483,-0.28,15.30,-0.25,-0.03,-0.01
