RX Date/Time,Fx(field 1),Fz(field 2),Mx(field 3),My(field 4),Mz(field 5)
2024/09/19/ 18:03:28::409,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::409,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::429,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::429,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::511,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::621,-0.00,11.10,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::718,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::822,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::909,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:28::976,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::077,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::137,-0.01,10.90,-0.01,0.00,-0.00
2024/09/19/ 18:03:29::235,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::354,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::453,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::510,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::614,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::701,-0.01,11.10,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::803,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:29::912,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::135,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::135,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::183,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::275,-0.00,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::366,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::475,-0.00,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::559,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::656,-0.01,11.00,-0.01,0.01,-0.00
2024/09/19/ 18:03:30::757,-0.01,10.90,-0.01,0.01,-0.00
2024/09/19/ 18:03:31::098,-0.01,10.90,-0.01,0.00,-0.00
2024/09/19/ 18:03:31::098,-0.00,10.90,-0.01,0.01,-0.00
