Used Foils:,cambered_foils
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,35
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
43.19835686683655,57.00,90.00,90.00,368.00,0.00
43.27099585533142,59.53,102.56,77.44,9568.00,0.00
43.34369373321533,66.65,113.31,66.69,8350.00,0.00
43.41477870941162,77.28,120.96,59.04,6938.00,0.00
43.48695778846741,90.52,124.76,55.24,8952.00,0.00
43.5597448348999,104.17,123.97,56.03,7078.00,0.00
43.631696701049805,116.79,118.67,61.33,8120.00,0.00
43.70397472381592,126.29,109.85,70.15,8474.00,0.00
43.775410890579224,131.90,98.36,81.64,8370.00,0.00
43.847399950027466,132.70,85.61,94.39,7038.00,0.00
43.919495820999146,128.66,73.76,106.24,3706.00,0.00
43.991554737091064,120.24,63.83,116.17,8376.00,0.00
44.0641667842865,108.37,57.24,122.76,8596.00,0.00
44.135334730148315,95.10,55.00,125.00,8350.00,0.00
44.20761275291443,81.63,57.24,122.76,9510.00,0.00
44.28049993515015,69.76,63.83,116.17,11750.00,0.00
44.35212588310242,61.43,73.60,106.40,11328.00,0.00
44.423091888427734,57.28,85.79,94.21,8094.00,0.00
44.495059967041016,58.10,98.36,81.64,5604.00,0.00
44.56742072105408,63.60,109.71,70.29,8448.00,0.00
44.639755725860596,73.21,118.67,61.33,5108.00,0.00
44.711514711380005,85.83,123.97,56.03,9538.00,0.00
44.78357672691345,99.48,124.76,55.24,9562.00,0.00
44.85650992393494,112.38,121.13,58.87,8478.00,0.00
44.92912173271179,123.35,113.31,66.69,10200.00,0.00
45.00134563446045,130.47,102.56,77.44,10074.00,0.00
45.07254195213318,133.00,90.18,89.82,8162.00,0.00
45.144972801208496,130.61,77.77,102.23,7872.00,0.00
45.216819763183594,123.47,66.82,113.18,7402.00,0.00
45.28887391090393,112.89,59.12,120.88,9326.00,0.00
45.360785722732544,99.67,55.27,124.73,8208.00,0.00
45.43270492553711,86.01,55.99,124.01,9738.00,0.00
45.50563883781433,73.68,61.03,118.97,11148.00,0.00
45.577165842056274,63.81,70.00,110.00,9614.00,0.00
45.64909482002258,58.15,81.47,98.53,10872.00,0.00
45.720879793167114,57.28,94.21,85.79,4836.00,0.00
45.793004751205444,61.25,106.09,73.91,7452.00,0.00
45.86555790901184,69.62,116.05,63.95,10254.00,0.00
45.936933755874634,81.28,122.64,57.36,8248.00,0.00
46.00888776779175,94.71,125.00,55.00,9266.00,0.00
46.08182501792908,108.19,122.83,57.17,8864.00,0.00
46.15423774719238,120.09,116.28,63.72,8958.00,0.00
46.226712703704834,128.48,106.55,73.45,10544.00,0.00
46.29799485206604,132.70,94.39,85.61,7940.00,0.00
46.37043380737305,131.94,81.81,98.19,6990.00,0.00
46.44279384613037,126.40,70.29,109.71,6144.00,0.00
46.51477575302124,116.79,61.33,118.67,8212.00,0.00
46.587066888809204,104.17,56.03,123.97,7330.00,0.00
46.658998012542725,90.71,55.22,124.78,10080.00,0.00
46.73162388801575,77.62,58.87,121.13,10184.00,0.00
46.80345964431763,66.65,66.69,113.31,10660.00,0.00
46.87563681602478,59.53,77.44,102.56,10790.00,0.00
46.9465057849884,57.00,89.82,90.18,8998.00,0.00
47.018834829330444,59.39,102.23,77.77,5184.00,0.00
47.090895891189575,66.40,113.05,66.95,7940.00,0.00
47.16320085525513,77.11,120.88,59.12,7530.00,0.00
47.2347948551178,90.14,124.71,55.29,8978.00,0.00
47.30746388435364,103.80,124.05,55.95,8382.00,0.00
47.37979078292847,116.32,118.97,61.03,7946.00,0.00
47.453274726867676,126.08,110.14,69.86,11502.00,0.00
47.52387475967407,131.85,98.53,81.47,9086.00,0.00
47.595927715301514,132.77,86.14,93.86,5948.00,0.00
47.66939067840576,128.75,73.91,106.09,7962.00,0.00
47.74112892150879,120.38,63.95,116.05,4978.00,0.00
47.813241720199585,108.54,57.30,122.70,8906.00,0.00
47.8848876953125,95.29,55.00,125.00,9296.00,0.00
47.95642971992493,81.64,57.24,122.76,9116.00,0.00
48.02920389175415,69.91,63.72,116.28,12298.00,0.00
48.10067677497864,61.43,73.60,106.40,8930.00,0.00
48.17240595817566,57.30,85.61,94.39,9588.00,0.00
48.24415063858032,58.06,98.19,81.81,4702.00,0.00
48.31689977645874,63.60,109.71,70.29,7346.00,0.00
48.38916301727295,73.21,118.67,61.33,9454.00,0.00
48.461161851882935,85.64,123.92,56.08,6828.00,0.00
48.53321599960327,99.29,124.78,55.22,8650.00,0.00
48.60614776611328,112.38,121.13,58.87,8406.00,0.00
48.67834687232971,123.35,113.31,66.69,8460.00,0.00
48.75103688240051,130.40,102.72,77.28,10876.00,0.00
48.82253074645996,133.00,90.18,89.82,7056.00,0.00
48.89488363265991,130.61,77.77,102.23,7110.00,0.00
48.96704578399658,123.47,66.82,113.18,8936.00,0.00
49.03939080238342,112.89,59.12,120.88,7292.00,0.00
49.11082077026367,99.67,55.27,124.73,9424.00,0.00
49.182506799697876,86.01,55.99,124.01,9794.00,0.00
49.255244731903076,73.68,61.03,118.97,11436.00,0.00
49.32770085334778,63.81,70.00,110.00,11144.00,0.00
49.39946389198303,58.15,81.47,98.53,10024.00,0.00
49.47117781639099,57.25,94.04,85.96,7812.00,0.00
49.54346966743469,61.25,106.09,73.91,5528.00,0.00
49.61492562294006,69.62,116.05,63.95,7164.00,0.00
49.68772888183594,81.28,122.64,57.36,10630.00,0.00
49.759297609329224,94.71,125.00,55.00,9294.00,0.00
49.832085847854614,108.37,122.76,57.24,9526.00,0.00
49.90411877632141,120.09,116.28,63.72,8588.00,0.00
49.976844787597656,128.57,106.40,73.60,10608.00,0.00
50.04800891876221,132.70,94.39,85.61,9116.00,0.00
50.11985993385315,131.90,81.64,98.36,3834.00,0.00
50.1926589012146,126.40,70.29,109.71,7462.00,0.00
50.264670848846436,116.79,61.33,118.67,6600.00,0.00
50.33674693107605,104.17,56.03,123.97,7072.00,0.00
50.40938687324524,90.71,55.22,124.78,10162.00,0.00
50.48113775253296,77.45,58.96,121.04,8664.00,0.00
50.553929805755615,66.65,66.69,113.31,11358.00,0.00
50.6256639957428,59.53,77.44,102.56,9680.00,0.00
50.69676899909973,57.00,89.82,90.18,7756.00,0.00
50.769152879714966,59.39,102.23,77.77,8762.00,0.00
50.84142184257507,66.53,113.18,66.82,4656.00,0.00
50.913344860076904,77.11,120.88,59.12,8602.00,0.00
50.985782623291016,90.14,124.71,55.29,8972.00,0.00
51.05846667289734,103.99,124.01,55.99,9234.00,0.00
51.13026976585388,116.32,118.97,61.03,9420.00,0.00
51.20269179344177,126.19,110.00,70.00,9366.00,0.00
51.274746894836426,131.85,98.53,81.47,10082.00,0.00
51.346237897872925,132.75,85.96,94.04,6062.00,0.00
51.41928172111511,128.75,73.91,106.09,5954.00,0.00
51.49113178253174,120.24,63.83,116.17,9032.00,0.00
51.563278675079346,108.72,57.36,122.64,7246.00,0.00
51.634636640548706,95.10,55.00,125.00,9448.00,0.00
51.70694971084595,81.63,57.24,122.76,9568.00,0.00
51.779823780059814,70.05,63.60,116.40,11954.00,0.00
51.8524227142334,61.43,73.60,106.40,11270.00,0.00
51.923221826553345,57.30,85.61,94.39,9132.00,0.00
51.994712829589844,58.10,98.36,81.64,6498.00,0.00
52.06739783287048,63.60,109.71,70.29,9484.00,0.00
52.1392776966095,73.21,118.67,61.33,7472.00,0.00
