Used Foils:,cambered_foils
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,25
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
16.241910696029663,-0.07,0.00,-0.04,-0.03,-0.00
16.430177688598633,-0.05,0.00,-0.03,-0.02,-0.00
16.618717908859253,-0.04,0.00,-0.02,-0.02,-0.00
16.806788682937622,-0.05,0.00,-0.02,-0.03,0.00
16.99467968940735,-0.08,0.00,-0.03,-0.04,0.00
17.18319797515869,-0.08,0.00,-0.04,-0.04,-0.00
17.371840000152588,-0.05,0.00,-0.02,-0.02,0.00
17.559647798538208,-0.01,0.00,-0.00,-0.00,0.00
17.747915029525757,1.10,0.00,0.24,0.86,-0.03
17.93615174293518,0.81,0.00,0.20,0.61,-0.02
18.12449884414673,0.09,0.00,0.04,0.05,-0.00
18.312946796417236,1.54,0.00,0.59,0.95,-0.02
18.50129270553589,1.60,0.00,0.45,1.16,-0.04
18.68959879875183,0.86,0.00,0.24,0.62,-0.02
18.877556800842285,0.11,0.00,-0.02,0.13,-0.01
19.065557956695557,2.21,0.00,1.46,0.74,0.04
19.25386691093445,0.71,0.00,0.20,0.51,-0.02
19.442359685897827,0.16,0.00,0.07,0.09,-0.00
19.630614042282104,1.75,0.00,0.62,1.13,-0.03
19.81876301765442,1.21,0.00,0.33,0.88,-0.03
20.006752967834473,0.51,0.00,0.23,0.28,-0.00
20.195125818252563,0.67,0.00,0.24,0.43,-0.01
20.383360862731934,1.51,0.00,0.80,0.71,0.00
20.57131791114807,0.12,0.00,0.00,0.12,-0.01
20.759382724761963,1.06,0.00,0.47,0.59,-0.01
20.947758674621582,1.63,0.00,0.42,1.21,-0.04
21.135944843292236,1.05,0.00,0.23,0.82,-0.03
21.324395895004272,-0.01,0.00,0.02,-0.03,0.00
21.512494802474976,1.56,0.00,0.80,0.76,0.00
21.7005136013031,1.10,0.00,0.51,0.59,-0.00
21.88870668411255,-0.04,0.00,0.00,-0.05,0.00
22.076961040496826,1.56,0.00,0.63,0.93,-0.02
22.264948844909668,1.31,0.00,0.37,0.94,-0.03
22.453494787216187,0.79,0.00,0.23,0.56,-0.02
22.641565799713135,0.19,0.00,0.02,0.18,-0.01
22.829831838607788,2.02,0.00,1.24,0.78,0.02
23.017810821533203,0.34,0.00,0.01,0.33,-0.02
23.205991744995117,0.57,0.00,0.33,0.24,0.00
23.394155025482178,1.59,0.00,0.45,1.14,-0.04
23.582446813583374,1.05,0.00,0.21,0.84,-0.03
23.770896911621094,0.16,0.00,0.03,0.14,-0.01
23.958842754364014,0.96,0.00,0.34,0.63,-0.01
24.147389888763428,1.83,0.00,1.10,0.73,0.02
24.335400819778442,0.03,0.00,0.00,0.03,-0.00
24.52345871925354,0.96,0.00,0.30,0.67,-0.02
24.711785793304443,1.58,0.00,0.37,1.20,-0.04
24.89993691444397,0.95,0.00,0.23,0.72,-0.03
25.08825969696045,0.07,0.00,0.11,-0.04,0.01
25.276091814041138,1.38,0.00,0.54,0.83,-0.02
25.464868783950806,1.50,0.00,0.82,0.68,0.01
25.652897596359253,0.20,0.00,0.14,0.06,0.00
25.840799808502197,1.63,0.00,0.52,1.11,-0.03
26.029247999191284,1.20,0.00,0.17,1.03,-0.04
