Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7992236195319655
Heave Amplitude:,38
Pitch Amplitude:,21.01211739510249
Camber Amplitude,0
Pitch Phase,-1.5195632670114843
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
4.121995687484741,55.00,90.00,90.00,1572.00,0.00
4.191452980041504,59.52,109.98,70.02,6140.00,0.00
4.2651526927948,66.64,106.38,73.62,2972.00,0.00
4.338818788528442,77.42,100.66,79.34,4640.00,0.00
4.408685922622681,93.57,86.43,5338.00,0.00
4.482450008392334,4.11,86.02,93.98,11872.00,0.00
4.552058935165405,116.57,78.98,101.02,15342.00,0.00
4.625791072845459,126.24,73.36,106.64,16326.00,0.00
4.699427843093872,87,69.90,110.10,12832.00,0.00
4.76917290687561,69.04,110.96,8116.00,0.00
4.838903903961182,8.72,70.88,109.12,50.00,0.00
4.912515878677368,120.20,75.28,104.72,6928.00,0.00
4.986330986022949,08.52,81.53,98.47,20002.00,0.00
5.055922031402588,95.27,88.78,91.22,22974.00,0.00
5.129579782485962,81.63,96.38,83.62,23056.00,0.00
5.203197956085205,91,103.05,76.95,20968.00,0.00
5.272790908813477,07.97,72.03,19580.00,0.00
5.346462965011597,.30,110.68,69.32,17882.00,0.00
5.416346788406372,,110.66,69.34,17532.00,0.00
5.4897496700286865,3.46,108.02,71.98,7566.00,0.00
5.559367895126343,5,102.95,77.05,3972.00,0.00
5.633082866668701,85.56,96.26,83.74,5672.00,0.00
5.703111886978149,19,88.76,91.24,10830.00,0.00
5.77683687210083,112.11,81.51,98.49,20982.00,0.00
5.850514888763428,3.13,75.19,104.81,20592.00,0.00
5.920444965362549,130.35,70.87,109.13,18082.00,0.00
5.993839979171753,133.00,69.03,110.97,15666.00,0.00
6.067718029022217,.66,69.93,110.07,9644.00,0.00
6.137379884719849,,73.44,106.56,1540.00,0.00
6.210855007171631,13.23,78.99,101.01,9162.00,0.00
6.280561923980713,7,86.14,93.86,13344.00,0.00
6.354392766952515,86.42,93.69,86.31,23344.00,0.00
6.4280359745025635,8,100.77,79.23,23134.00,0.00
6.497621059417725,06.46,73.54,20418.00,0.00
6.57155179977417,58.26,110.01,69.99,17482.00,0.00
6.64120888710022,,110.98,69.02,17944.00,0.00
6.714879989624023,1.03,109.24,70.76,11954.00,0.00
6.784408807754517,69.40,104.93,75.07,1092.00,0.00
6.858088970184326,80.98,98.74,81.26,5856.00,0.00
6.927681922912598,19,91.52,88.48,10126.00,0.00
7.001510858535767,107.68,84.01,95.99,15598.00,0.00
7.075019836425781,9.68,77.19,102.81,21050.00,0.00
7.14891505241394,1,72.18,107.82,18442.00,0.00
7.218624830245972,9.37,110.63,12122.00,0.00
7.292431831359863,132.08,69.29,110.71,8986.00,0.00
7.361886024475098,,71.88,108.12,868.00,0.00
7.43567967414856,17.29,76.82,103.18,6908.00,0.00
7.505581855773926,8,83.56,96.44,20660.00,0.00
7.5786566734313965,91.35,90.94,89.06,23724.00,0.00
7.6482319831848145,1,98.31,81.69,25468.00,0.00
7.721951723098755,67.10,104.67,75.33,21562.00,0.00
7.7957329750061035,59.78,109.05,70.95,18294.00,0.00
7.865628004074097,,110.95,69.05,17524.00,0.00
7.939393758773804,9.15,110.15,69.85,16552.00,0.00
8.009024858474731,3,106.75,73.25,1238.00,0.00
8.082641839981079,76.47,101.17,78.83,6386.00,0.00
8.152427911758423,40,94.16,85.84,6256.00,0.00
8.226067066192627,103.06,86.60,93.40,17128.00,0.00
8.299800872802734,5.51,79.58,100.42,19992.00,0.00
8.369874954223633,2,73.73,106.27,19114.00,0.00
8.443099975585938,131.65,70.05,109.95,16152.00,0.00
8.516865730285645,132.85,69.00,111.00,10152.00,0.00
8.586638927459717,,70.68,109.32,3212.00,0.00
8.660083055496216,21.00,74.86,105.14,6648.00,0.00
8.729918956756592,109.34,81.08,98.92,10742.00,0.00
8.803537845611572,96.16,88.29,91.71,14136.00,0.00
8.87334680557251,64,95.81,84.19,5632.00,0.00
8.94700813293457,70.59,102.66,77.34,4754.00,0.00
9.020704746246338,.96,107.72,72.28,4896.00,0.00
9.09031891822815,110.57,69.43,2192.00,0.00
9.164016008377075,7.81,110.76,69.24,518.00,0.00
9.233507871627808,,108.27,71.73,908.00,0.00
9.30756688117981,72.27,103.41,76.59,4382.00,0.00
9.37702488899231,2,96.82,83.18,4722.00,0.00
9.450809955596924,97.92,89.46,90.54,5492.00,0.00
9.520540952682495,111.31,81.97,98.03,2124.00,0.00
9.594183921813965,122.40,75.62,104.38,2796.00,0.00
9.667415857315063,9.94,71.13,108.87,2680.00,0.00
9.737109899520874,7,69.08,110.92,600.00,0.00
9.810752868652344,31.08,69.74,110.26,104.00,0.00
9.884826898574829,41,73.08,106.92,5378.00,0.00
9.954527854919434,78.49,101.51,5646.00,0.00
10.028172731399536,1.32,85.45,94.55,7888.00,0.00
10.097815752029419,93.10,86.90,4302.00,0.00
10.17129397392273,.94,100.16,79.84,3860.00,0.00
10.241225004196167,,106.01,73.99,2904.00,0.00
10.314652919769287,8.60,109.79,70.21,1308.00,0.00
10.384521961212158,9,111.01,68.99,560.00,0.00
10.458334922790527,60.48,109.51,70.49,2628.00,0.00
10.527878999710083,,105.56,74.44,0.00,0.00
10.597393989562988,99.84,80.16,0.00,0.00
10.667065858840942,91.78,92.85,87.15,0.00,0.00
10.736738920211792,.39,0.00,0.00
10.806457996368408,8.89,101.11,0.00,0.00
10.87599492073059,3.43,106.57,0.00,0.00
10.945605993270874,0.03,109.97,0.00,0.00
11.01527190208435,32.86,69.00,111.00,0.00,0.00
11.08493185043335,.54,109.46,0.00,0.00
11.150548934936523,.40,105.60,0.00,0.00
11.220208883285522,110.99,80.19,99.81,0.00,0.00
11.28983998298645,.14,87.19,92.81,0.00,0.00
11.359259843826294,85.28,94.33,85.67,0.00,0.00
11.42890977859497,73.22,101.14,78.86,0.00,0.00
11.498316764831543,4,106.53,73.47,0.00,0.00
11.568867921829224,0,109.99,70.01,0.00,0.00
11.637941122055054,,111.00,69.00,0.00,0.00
11.70721173286438,60.47,109.52,70.48,0.00,0.00
11.776811838150024,105.65,74.35,0.00,0.00
11.846340894699097,99.86,80.14,0.00,0.00
11.912050008773804,3.08,86.92,0.00,0.00
11.985980033874512,104.61,85.73,94.27,0.00,0.00
12.055532932281494,9.00,101.00,0.00,0.00
12.125208854675293,3.51,106.49,0.00,0.00
12.194688081741333,0.03,109.97,0.00,0.00
12.264225721359253,9.00,111.00,0.00,0.00
12.333860874176025,.50,109.50,0.00,0.00
12.399303913116455,.38,105.62,0.00,0.00
