Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,40
Pitch Amplitude:,60
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
101.32332706451416,106.79,147.34,32.66,0.00,0.00
101.39526796340942,119.40,137.55,42.45,0.00,0.00
101.466952085495,129.04,121.51,58.49,0.00,0.00
101.53876185417175,134.27,101.39,78.61,0.00,0.00
101.60988092422485,134.45,80.09,99.91,0.00,0.00
101.68181204795837,129.56,59.78,120.22,0.00,0.00
101.75375294685364,120.19,43.39,136.61,4.00,0.00
101.82508707046509,107.74,33.13,146.87,0.00,0.00
101.8964250087738,93.49,30.04,149.96,0.00,0.00
101.96777009963989,79.44,34.73,145.27,4.00,0.00
102.0395770072937,67.54,46.37,133.63,4.00,0.00
102.11125898361206,59.02,63.77,116.23,0.00,0.00
103.1828441619873,55.00,90.30,89.70,0.00,0.00
103.25489592552185,56.51,106.30,73.70,0.00,0.00
103.32631707191467,60.75,121.00,59.00,0.00,0.00
103.39762020111084,67.44,133.48,46.52,0.00,0.00
103.46924304962158,76.22,142.97,37.03,0.00,0.00
103.54060101509094,86.37,148.59,31.41,0.00,0.00
103.61236190795898,96.86,149.94,30.06,0.00,0.00
103.68425703048706,107.50,146.99,33.01,0.00,0.00
103.75595498085022,117.23,139.88,40.12,0.00,0.00
103.82779788970947,125.24,129.28,50.72,0.00,0.00
103.89897298812866,131.15,115.68,64.32,0.00,0.00
103.97080111503601,134.42,100.20,79.80,4.00,0.00
104.04162406921387,134.81,84.20,95.80,0.00,0.00
104.11363387107849,132.32,68.40,111.60,0.00,0.00
104.18536901473999,127.09,54.19,125.81,0.00,0.00
104.2568621635437,119.64,42.73,137.27,0.00,0.00
104.328773021698,110.28,34.55,145.45,0.00,0.00
104.39970183372498,99.96,30.46,149.54,0.00,0.00
104.47080588340759,89.29,30.61,149.39,0.00,0.00
104.54271817207336,78.88,35.09,144.91,0.00,0.00
104.61408400535583,69.66,43.58,136.42,0.00,0.00
104.68562078475952,62.38,55.28,124.72,0.00,0.00
104.75701212882996,57.36,69.68,110.32,0.00,0.00
104.82782101631165,55.12,85.33,94.67,0.00,0.00
104.89982104301453,55.72,101.32,78.68,0.00,0.00
104.97130417823792,59.18,116.70,63.30,0.00,0.00
105.04266691207886,65.26,130.13,49.87,0.00,0.00
105.11441707611084,73.27,140.37,39.63,0.00,0.00
105.18570590019226,83.07,147.27,32.73,0.00,0.00
105.25709414482117,93.74,149.97,30.03,0.00,0.00
105.32950806617737,104.36,148.33,31.67,0.00,0.00
105.40116596221924,114.45,142.43,37.57,0.00,0.00
105.47276711463928,123.11,132.69,47.31,4.00,0.00
105.54438495635986,129.71,119.83,60.17,0.00,0.00
105.61616396903992,133.73,104.99,75.01,0.00,0.00
105.68695211410522,134.99,88.87,91.13,0.00,0.00
105.75916886329651,133.33,72.83,107.17,4.00,0.00
105.8308961391449,128.93,58.23,121.77,4.00,0.00
105.90243291854858,122.12,45.90,134.10,0.00,0.00
105.97422409057617,113.25,36.61,143.39,0.00,0.00
106.0454261302948,103.19,31.27,148.73,0.00,0.00
106.11679697036743,92.39,30.13,149.87,0.00,0.00
106.18819189071655,81.78,33.37,146.63,0.00,0.00
106.25982713699341,72.27,40.63,139.37,0.00,0.00
106.33150887489319,64.28,51.58,128.42,0.00,0.00
