Used Foils:,wide_foils_off
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,38
Pitch Amplitude:,50
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
303.25728011131287,57.00,90.00,90.00,622.00,0.00
303.33043575286865,58.43,103.59,76.41,4024.00,0.00
303.4020998477936,62.54,115.99,64.01,3690.00,0.00
303.4738199710846,69.02,126.49,53.51,4826.00,0.00
303.5458860397339,77.41,134.32,45.68,5234.00,0.00
303.6180408000946,87.08,138.90,41.10,4346.00,0.00
303.6902778148651,97.34,139.91,40.09,2700.00,0.00
303.76286602020264,107.42,137.25,42.75,1668.00,0.00
303.83512592315674,116.60,131.14,48.86,3866.00,0.00
303.906626701355,124.19,122.02,57.98,5442.00,0.00
303.97853899002075,129.64,110.55,69.45,4912.00,0.00
304.0503098964691,132.56,97.57,82.43,5210.00,0.00
304.122642993927,132.71,83.86,96.14,4374.00,0.00
304.1952860355377,130.13,70.95,109.05,4168.00,0.00
304.26736211776733,124.97,59.26,120.74,5696.00,0.00
304.3394377231598,117.49,49.70,130.30,2074.00,0.00
304.41104388237,108.59,43.31,136.69,6410.00,0.00
304.48279881477356,98.43,40.20,139.80,1068.00,0.00
304.55491399765015,88.16,40.82,139.18,6436.00,0.00
304.62732195854187,78.39,45.03,134.97,5424.00,0.00
304.69949293136597,69.83,52.54,127.46,6160.00,0.00
304.77139687538147,63.12,62.79,117.21,7572.00,0.00
304.8435070514679,58.74,75.03,104.97,9326.00,0.00
304.91458106040955,57.02,88.37,91.63,7498.00,0.00
304.9874939918518,58.08,101.82,78.18,6610.00,0.00
305.058984041214,61.84,114.42,65.58,2252.00,0.00
305.13157391548157,68.03,125.22,54.78,5420.00,0.00
305.2031638622284,76.19,133.45,46.55,3140.00,0.00
305.27494502067566,85.73,138.49,41.51,4414.00,0.00
305.34689378738403,95.81,139.99,40.01,3884.00,0.00
305.42018580436707,106.11,137.82,42.18,3378.00,0.00
305.49153685569763,115.44,132.15,47.85,6098.00,0.00
305.5638999938965,123.38,123.25,56.75,3248.00,0.00
305.6361939907074,129.05,112.19,67.81,3860.00,0.00
305.70783591270447,132.35,99.18,80.82,3120.00,0.00
305.78022599220276,132.86,85.67,94.33,3628.00,0.00
305.8523669242859,130.59,72.47,107.53,4408.00,0.00
305.9247601032257,125.71,60.56,119.44,2634.00,0.00
305.9967360496521,118.48,50.69,129.31,2536.00,0.00
306.06909108161926,109.74,43.91,136.09,6176.00,0.00
306.1407070159912,99.81,40.40,139.60,3972.00,0.00
306.2131018638611,89.39,40.55,139.45,6124.00,0.00
306.28509187698364,79.65,44.26,135.74,6200.00,0.00
306.3572909832001,70.78,51.47,128.53,6656.00,0.00
306.42872405052185,63.81,61.43,118.57,7478.00,0.00
306.50079584121704,59.18,73.30,106.70,7134.00,0.00
306.57253193855286,57.08,86.74,93.26,6358.00,0.00
306.6450319290161,57.80,100.23,79.77,4880.00,0.00
306.7171120643616,61.25,112.98,67.02,3336.00,0.00
306.78908801078796,67.17,124.04,55.96,5550.00,0.00
306.86109495162964,75.12,132.62,47.38,4246.00,0.00
306.9330680370331,84.54,138.07,41.93,4508.00,0.00
307.0052809715271,94.71,140.00,40.00,2068.00,0.00
307.0777847766876,104.91,138.27,41.73,3630.00,0.00
307.1500389575958,114.51,132.91,47.09,7036.00,0.00
307.2222878932953,122.44,124.59,55.41,2078.00,0.00
307.2946128845215,128.55,113.48,66.52,4460.00,0.00
307.36657094955444,132.11,100.78,79.22,3048.00,0.00
307.43818283081055,132.94,87.30,92.70,5980.00,0.00
