Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,40
Pitch Amplitude:,65
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration, 10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
240.2455770969391,122.89,46.99,133.01,3142.00,0.00
240.3180570602417,114.31,37.46,142.54,4430.00,0.00
240.39027309417725,104.07,31.56,148.44,5446.00,0.00
240.46158599853516,93.29,30.05,149.95,1084.00,0.00
240.5335922241211,82.64,32.94,147.06,4856.00,0.00
240.60563206672668,72.89,40.00,140.00,4536.00,0.00
240.6777470111847,64.76,50.72,129.28,5348.00,0.00
240.75011801719666,58.85,64.32,115.68,6938.00,0.00
240.82202196121216,55.58,79.80,100.20,4092.00,0.00
241.89441800117493,0
241.96631789207458,59.09,118.63,61.37,2618.00,0.00
242.03808999061584,65.13,133.23,46.77,4886.00,0.00
242.11028409004211,73.23,144.53,35.47,5796.00,0.00
242.18215894699097,83.17,152.09,27.91,1724.00,0.00
242.25405597686768,93.84,154.97,25.03,4464.00,0.00
242.32688808441162,104.46,153.16,26.84,3512.00,0.00
242.39895606040955,114.67,146.60,33.40,4574.00,0.00
242.47104692459106,123.28,135.96,44.04,5342.00,0.00
242.54282093048096,129.76,122.17,57.83,3130.00,0.00
242.61493682861328,133.83,105.61,74.39,5974.00,0.00
242.68749284744263,134.98,88.12,91.88,2960.00,0.00
242.7589671611786,133.25,71.00,109.00,4472.00,0.00
242.831148147583,128.64,54.83,125.17,6186.00,0.00
242.90285181999207,121.60,41.46,138.54,1164.00,0.00
242.9754991531372,112.48,31.54,148.46,6168.00,0.00
243.04737997055054,102.35,26.11,153.89,5768.00,0.00
243.11864399909973,91.54,25.24,154.76,4056.00,0.00
243.1909580230713,80.84,29.21,150.79,5142.00,0.00
243.26273322105408,71.45,37.46,142.54,4558.00,0.00
243.3347761631012,63.64,49.65,130.35,6694.00,0.00
243.40681195259094,58.07,65.01,114.99,6538.00,0.00
243.47830200195312,55.32,81.77,98.23,4516.00,0.00
243.55009698867798,55.42,99.36,80.64,4322.00,0.00
243.62276315689087,58.41,116.26,63.74,1602.00,0.00
243.69440603256226,64.08,131.24,48.76,3408.00,0.00
243.7663381099701,72.02,143.20,36.80,2854.00,0.00
243.83826804161072,81.64,151.27,28.73,3938.00,0.00
243.91057801246643,92.09,154.83,25.17,5676.00,0.00
243.9830150604248,103.04,153.67,26.33,2370.00,0.00
244.0550720691681,113.25,147.84,32.16,2650.00,0.00
244.12730813026428,122.23,137.61,42.39,3778.00,0.00
244.19929814338684,129.01,124.21,55.79,4358.00,0.00
244.27173686027527,133.45,107.90,72.10,6390.00,0.00
244.34369206428528,135.00,90.49,89.51,2146.00,0.00
244.41589403152466,133.62,73.05,106.95,4528.00,0.00
244.4879539012909,129.40,56.84,123.16,1940.00,0.00
244.56062126159668,122.67,43.07,136.93,5318.00,0.00
244.6323320865631,113.92,32.73,147.27,4106.00,0.00
244.7044129371643,103.77,26.58,153.42,3270.00,0.00
244.77574610710144,92.84,25.09,154.91,3798.00,0.00
244.84808993339539,82.35,28.33,151.67,3244.00,0.00
244.9200839996338,72.64,36.10,143.90,3592.00,0.00
244.99219417572021,64.47,48.00,132.00,5702.00,0.00
245.06414008140564,58.66,62.84,117.16,5892.00,0.00
245.13615703582764,55.53,79.43,100.57,4826.00,0.00
245.20801210403442,55.25,97.25,82.75,3660.00,0.00
245.2801649570465,57.90,114.31,65.69,5214.00,0.00
245.3520951271057,63.18,129.39,50.61,4260.00,0.00
245.4242582321167,70.96,141.96,38.04,1570.00,0.00
245.4962272644043,80.42,150.53,29.47,5996.00,0.00
245.56811714172363,90.79,154.64,25.36,4942.00,0.00
245.64082312583923,101.75,154.07,25.93,3520.00,0.00
245.71290612220764,112.08,148.78,31.22,2488.00,0.00
