used_foils,stiff_foils
waterspeed,0.0
Frequency,0.8
heave_amp,40
pitch_amp,20
camb_amp,90
pitch_phase,0
camber_phase,0
turn_rate,0
test_duration,3

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
10.052073001861572,74.42,54.43,125.57,2065.00,0.00
10.121038913726807,67.73,58.18,121.82,2135.00,0.00
10.190010786056519,62.04,62.77,117.23,2203.00,0.00
10.258810997009277,57.25,68.23,111.77,2272.00,0.00
10.327608823776245,53.59,74.35,105.65,2341.00,0.00
10.396376848220825,51.17,80.93,99.07,2410.00,0.00
11.439911842346191,50.00,90.00,90.00,1.00,0.00
11.509044885635376,57.25,96.61,83.39,68.00,0.00
11.578880071640015,63.99,102.63,77.37,137.00,0.00
11.647062063217163,74.42,107.15,72.85,206.00,0.00
11.71561598777771,87.31,109.63,70.37,275.00,0.00
11.784929037094116,101.11,109.77,70.23,344.00,0.00
11.854105949401855,114.01,107.60,72.40,412.00,0.00
11.923125982284546,124.84,103.32,76.68,481.00,0.00
11.991267919540405,132.12,97.46,82.54,550.00,0.00
12.059736728668213,134.97,90.80,89.20,619.00,0.00
12.128277063369751,133.07,83.87,96.13,688.00,0.00
12.19762110710144,126.64,77.76,102.24,757.00,0.00
12.266542911529541,116.60,73.17,106.83,825.00,0.00
12.335704803466797,103.87,70.50,109.50,894.00,0.00
12.404086112976074,90.29,70.14,109.86,962.00,0.00
12.473417043685913,76.89,72.17,107.83,1032.00,0.00
12.542308807373047,65.84,76.31,103.69,1101.00,0.00
12.610534906387329,58.35,81.99,98.01,1169.00,0.00
12.679492950439453,55.09,88.69,91.31,1238.00,0.00
12.748064041137695,56.52,95.46,84.54,1306.00,0.00
12.817499876022339,62.64,101.76,78.24,1376.00,0.00
12.88628888130188,72.56,106.56,73.44,1445.00,0.00
12.95491886138916,84.96,109.36,70.64,1513.00,0.00
13.023487091064453,98.71,109.91,70.09,1582.00,0.00
