Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.5
Heave Amplitude:,38
Pitch Amplitude:,40
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
446.3753650188446,57.00,90.00,90.00,302.00,0.00
446.4488699436188,7.99,30.00,150.00,2432.00,0.00
446.518572807312,60.87,30.00,150.00,2222.00,0.00
446.5924599170685,65.49,30.00,150.00,2654.00,0.00
446.6634519100189,62,30.00,150.00,2834.00,0.00
446.73568201065063,78.93,30.00,150.00,2478.00,0.00
446.8096070289612,.06,30.00,150.00,2884.00,0.00
446.8789920806885,,30.00,150.00,1916.00,0.00
446.952641248703,104.22,30.00,150.00,1426.00,0.00
447.02640295028687,.15,30.00,150.00,3284.00,0.00
447.09644293785095,,30.00,150.00,1786.00,0.00
447.1698589324951,5.32,30.00,150.00,2252.00,0.00
447.23988795280457,129.68,30.00,150.00,1632.00,0.00
447.3133249282837,132.28,30.00,150.00,1690.00,0.00
447.3869159221649,.98,121.10,58.90,2658.00,0.00
447.456561088562,,150.00,30.00,1782.00,0.00
447.5303041934967,28.58,150.00,30.00,1858.00,0.00
447.60020208358765,74,150.00,30.00,3404.00,0.00
447.67366099357605,117.34,150.00,30.00,2632.00,0.00
447.7474160194397,9.98,150.00,30.00,4590.00,0.00
447.8169550895691,5,150.00,30.00,5020.00,0.00
447.8904769420624,3.09,150.00,30.00,4712.00,0.00
447.9601240158081,4,150.00,30.00,3736.00,0.00
448.0337538719177,76.69,150.00,30.00,5466.00,0.00
448.1073749065399,.69,150.00,30.00,5696.00,0.00
448.17702317237854,150.00,30.00,6512.00,0.00
448.25079679489136,9.85,150.00,30.00,4100.00,0.00
448.3203978538513,9,150.00,30.00,2052.00,0.00
448.3942301273346,57.08,30.67,149.33,308.00,0.00
448.46378993988037,58,30.00,150.00,482.00,0.00
448.5375499725342,61.99,30.00,150.00,2674.00,0.00
448.61116886138916,.06,30.00,150.00,1986.00,0.00
448.68086791038513,,30.00,150.00,3588.00,0.00
448.75453901290894,81.12,30.00,150.00,918.00,0.00
448.8244149684906,89.41,30.00,150.00,1854.00,0.00
448.898060798645,97.98,30.00,150.00,2714.00,0.00
448.97164511680603,6.40,30.00,150.00,1662.00,0.00
449.0414328575134,114.34,30.00,150.00,1940.00,0.00
449.11498618125916,121.10,30.00,150.00,1472.00,0.00
449.18870306015015,.69,30.00,150.00,1310.00,0.00
449.258446931839,3,30.00,150.00,1586.00,0.00
449.3321170806885,32.67,30.00,150.00,1176.00,0.00
449.40622091293335,.82,150.00,30.00,1468.00,0.00
449.4757058620453,131.03,150.00,30.00,3686.00,0.00
