Used Foils:,cambered_foils_balloon_off
Waterspeed:,0.0
Frequency:,0.5
Heave Amplitude:,38
Pitch Amplitude:,45
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
459.3575460910797,57.00,90.00,90.00,132.00,0.00
459.42987537384033,57.99,100.23,79.77,436.00,0.00
459.50225925445557,60.87,109.80,70.20,4306.00,0.00
459.57452630996704,65.42,118.25,61.75,1704.00,0.00
459.6462051868439,71.62,125.47,54.53,2038.00,0.00
459.71810817718506,78.93,130.78,49.22,5770.00,0.00
459.7900040149689,86.94,133.98,46.02,2442.00,0.00
459.8620102405548,95.48,135.00,45.00,3746.00,0.00
459.9346160888672,104.10,133.69,46.31,4210.00,0.00
460.00695610046387,112.04,130.22,49.78,3260.00,0.00
460.07908725738525,119.31,124.58,55.42,4558.00,0.00
460.15099024772644,125.24,117.24,62.76,3234.00,0.00
460.2232220172882,129.58,108.65,71.35,3998.00,0.00
460.29470229148865,132.26,98.85,81.15,1120.00,0.00
460.3667802810669,132.98,88.73,91.27,1118.00,0.00
460.4393491744995,131.81,78.81,101.19,2064.00,0.00
460.51048707962036,128.69,69.19,110.81,830.00,0.00
460.5829770565033,123.90,60.77,119.23,3060.00,0.00
460.65536999702454,117.62,53.85,126.15,2920.00,0.00
460.7273771762848,110.20,48.76,131.24,2762.00,0.00
460.79942512512207,102.00,45.77,134.23,3336.00,0.00
460.8705642223358,93.45,45.04,134.96,390.00,0.00
460.94276309013367,84.97,46.59,133.41,2740.00,0.00
461.0144410133362,77.01,50.36,129.64,692.00,0.00
461.08700919151306,69.96,56.15,123.85,2032.00,0.00
461.1591303348541,64.19,63.66,116.34,2262.00,0.00
461.23105931282043,59.98,72.52,107.48,1156.00,0.00
461.3019971847534,57.57,82.26,97.74,1836.00,0.00
461.37393736839294,57.05,92.40,87.60,1272.00,0.00
461.4455842971802,58.48,102.42,77.58,558.00,0.00
461.51849603652954,61.76,111.80,68.20,3520.00,0.00
461.5907483100891,66.65,119.97,60.03,2262.00,0.00
461.6622521877289,73.05,126.74,53.26,3322.00,0.00
461.7346942424774,80.68,131.68,48.32,3094.00,0.00
461.8061771392822,88.94,134.42,45.58,4096.00,0.00
461.87810826301575,97.39,134.91,45.09,4066.00,0.00
461.950501203537,105.95,133.09,46.91,616.00,0.00
462.02318024635315,113.83,129.09,50.91,2674.00,0.00
462.09558033943176,120.75,123.09,56.91,3624.00,0.00
462.167512178421,126.36,115.41,64.59,1490.00,0.00
462.24001836776733,130.42,106.30,73.70,4398.00,0.00
462.31115436553955,132.59,96.62,83.38,2320.00,0.00
462.3834843635559,132.88,86.47,93.53,2428.00,0.00
462.45608925819397,131.21,76.36,103.64,1592.00,0.00
462.5280120372772,127.77,67.21,112.79,1818.00,0.00
462.6001672744751,122.54,58.99,121.01,2530.00,0.00
462.67222023010254,115.96,52.47,127.53,2396.00,0.00
462.74409914016724,108.43,47.91,132.09,4148.00,0.00
462.8163080215454,100.00,45.39,134.61,5128.00,0.00
462.8880021572113,91.42,45.20,134.80,2242.00,0.00
462.9601092338562,82.92,47.34,132.66,3450.00,0.00
463.0326142311096,75.25,51.56,128.44,2198.00,0.00
463.1040291786194,68.47,57.78,122.22,4164.00,0.00
463.1760792732239,62.98,65.77,114.23,3356.00,0.00
463.2480101585388,59.25,74.76,105.24,1684.00,0.00
463.3194692134857,57.27,84.64,95.36,2484.00,0.00
463.39071917533875,57.22,94.80,85.20,448.00,0.00
463.46338725090027,59.09,104.71,75.29,4706.00,0.00
463.53537011146545,62.79,113.87,66.13,2706.00,0.00
463.6073672771454,68.13,121.82,58.18,1750.00,0.00
463.67950415611267,74.84,128.15,51.85,3058.00,0.00
463.75148916244507,82.58,132.53,47.47,1074.00,0.00
463.823557138443,90.95,134.74,45.26,3500.00,0.00
463.8955442905426,99.64,134.66,45.34,4672.00,0.00
463.9680881500244,107.87,132.34,47.66,1786.00,0.00
464.04017996788025,115.56,127.84,52.16,4244.00,0.00
464.11189317703247,122.29,121.32,58.68,482.00,0.00
464.184561252594,127.46,113.39,66.61,2176.00,0.00
464.2569191455841,131.10,104.04,75.96,2424.00,0.00
464.3281683921814,132.84,94.09,85.91,1616.00,0.00
464.4000082015991,132.65,83.94,96.06,492.00,0.00
464.4731421470642,130.55,74.09,105.91,1600.00,0.00
464.54502415657043,126.63,65.06,114.94,3076.00,0.00
464.6173210144043,121.10,57.29,122.71,2202.00,0.00
464.6893901824951,114.24,51.19,128.81,2874.00,0.00
464.7613482475281,106.29,47.03,132.97,3122.00,0.00
464.8326692581177,97.98,45.14,134.86,534.00,0.00
464.9050302505493,89.29,45.51,134.49,2452.00,0.00
464.97743105888367,81.01,48.16,131.84,4736.00,0.00
465.0494842529297,73.44,52.94,127.06,2910.00,0.00
465.12144112586975,66.97,59.61,120.39,4382.00,0.00
465.1937472820282,61.93,67.83,112.17,2028.00,0.00
465.265896320343,58.58,77.17,102.83,1838.00,0.00
465.3376672267914,57.07,87.17,92.83,3074.00,0.00
465.40892601013184,57.51,97.32,82.68,554.00,0.00
465.48123598098755,59.85,107.09,72.91,3034.00,0.00
465.55320715904236,63.91,115.88,64.12,4274.00,0.00
465.62530517578125,69.69,123.57,56.43,3296.00,0.00
465.69746017456055,76.69,129.43,50.57,5106.00,0.00
465.76976013183594,84.51,133.25,46.75,3530.00,0.00
465.8413782119751,93.09,134.94,45.06,944.00,0.00
465.9153730869293,101.65,134.31,45.69,2044.00,0.00
465.986444234848,109.87,131.41,48.59,4420.00,0.00
466.05849719047546,117.34,126.41,53.59,5266.00,0.00
466.1304762363434,123.74,119.44,60.56,2772.00,0.00
466.2042953968048,128.58,111.06,68.94,4590.00,0.00
466.2752022743225,131.72,101.60,78.40,4662.00,0.00
466.34634613990784,132.98,91.55,88.45,574.00,0.00
466.41855120658875,132.30,81.43,98.57,2684.00,0.00
466.4912612438202,129.73,71.74,108.26,1982.00,0.00
466.5632450580597,125.39,62.98,117.02,2628.00,0.00
466.6355001926422,119.41,55.51,124.49,4890.00,0.00
466.70757031440735,112.36,49.97,130.03,2290.00,0.00
466.77961826324463,104.22,46.34,133.66,3244.00,0.00
466.8511941432953,95.72,45.01,134.99,2976.00,0.00
466.9233160018921,87.29,45.93,134.07,1960.00,0.00
466.99514722824097,79.04,49.16,130.84,3896.00,0.00
467.06723713874817,71.71,54.44,125.56,2562.00,0.00
467.1393082141876,65.57,61.53,118.47,2622.00,0.00
467.211549282074,60.93,70.08,109.92,1026.00,0.00
467.2831931114197,58.02,79.63,100.37,1940.00,0.00
467.3549461364746,57.00,89.72,90.28,1046.00,0.00
467.42614912986755,57.92,99.82,80.18,652.00,0.00
467.49922919273376,60.72,109.42,70.58,4348.00,0.00
467.5712833404541,65.27,118.03,61.97,1544.00,0.00
467.64325404167175,71.33,125.21,54.79,2740.00,0.00
467.71535634994507,78.60,130.60,49.40,4716.00,0.00
467.7877662181854,86.71,133.92,46.08,2442.00,0.00
467.8597831726074,95.24,135.00,45.00,5060.00,0.00
467.93219208717346,103.75,133.79,46.21,2402.00,0.00
468.00442123413086,111.93,130.29,49.71,2890.00,0.00
468.07653522491455,119.04,124.85,55.15,4686.00,0.00
468.1488392353058,125.10,117.47,62.53,3936.00,0.00
468.22081422805786,129.53,108.78,71.22,5348.00,0.00
468.2923090457916,132.23,98.99,81.01,750.00,0.00
