Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.4
Heave Amplitude:,40
Pitch Amplitude:,60
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
111.38971519470215,0.42,-1.15,-0.10,-0.03,-0.01
111.59267997741699,-0.28,-0.54,-0.31,-0.18,0.04
111.79564094543457,-0.24,-0.74,-0.20,-0.13,0.04
111.99867677688599,0.18,-1.62,0.03,0.05,0.01
112.20073699951172,0.44,-1.37,-0.09,-0.01,-0.00
112.40264201164246,0.16,-1.30,-0.04,0.00,0.01
112.60482597351074,0.22,-1.08,-0.07,-0.03,0.01
112.80697798728943,0.11,-0.37,-0.04,-0.03,0.02
113.00967478752136,0.14,-1.15,-0.02,-0.01,0.02
113.21280407905579,0.14,-1.36,-0.14,-0.05,0.02
113.41653108596802,0.05,-1.27,-0.23,-0.11,0.02
113.62088203430176,0.02,-1.37,-0.24,-0.10,0.02
113.82475900650024,0.02,-1.50,-0.24,-0.10,0.02
114.02863812446594,0.05,-1.23,-0.14,-0.07,0.01
114.2327048778534,0.07,-1.21,-0.09,-0.03,0.01
114.43654489517212,0.04,-1.10,-0.06,-0.02,0.01
114.64053606987,0.02,-0.93,-0.11,-0.06,0.02
114.84445095062256,0.01,-1.04,-0.15,-0.08,0.02
115.04865288734436,-0.13,-0.52,-0.13,-0.10,0.02
115.25227689743042,-0.09,-0.72,-0.17,-0.11,0.02
115.45661497116089,0.06,-1.26,0.02,0.02,0.01
115.65829205513,0.12,-1.27,-0.06,-0.03,0.01
115.86226487159729,-0.03,-1.30,-0.21,-0.10,0.02
116.06638407707214,0.04,-1.34,-0.21,-0.10,0.02
116.27017903327942,0.05,-1.58,-0.25,-0.10,0.02
116.47414588928223,0.10,-1.17,-0.20,-0.10,0.02
116.67839503288269,0.08,-1.31,-0.09,-0.03,0.01
116.88241815567017,0.04,-1.01,-0.07,-0.03,0.01
117.08630204200745,-0.02,-1.13,-0.09,-0.03,0.01
117.28887104988098,-0.07,-0.90,-0.10,-0.06,0.01
117.49138593673706,-0.17,-0.78,-0.22,-0.13,0.02
117.69399905204773,-0.18,-0.62,-0.14,-0.09,0.02
117.8960108757019,-0.07,-0.77,-0.03,-0.04,0.00
118.09822106361389,-0.17,-1.55,-0.01,0.02,-0.01
118.30217480659485,-0.27,-1.18,-0.20,-0.10,0.00
118.50609183311462,-0.15,-1.36,-0.22,-0.09,0.01
118.7101218700409,-0.09,-1.58,-0.25,-0.10,0.02
118.9142689704895,-0.06,-1.22,-0.23,-0.11,0.02
119.11811304092407,-0.01,-1.42,-0.10,-0.03,0.00
119.3216700553894,0.02,-1.10,-0.06,-0.02,0.01
119.5247540473938,0.00,-1.13,-0.06,-0.02,0.01
119.72781991958618,-0.05,-0.97,-0.13,-0.07,0.02
119.931813955307,-0.05,-0.70,-0.21,-0.12,0.03
120.13593006134033,-0.23,-0.31,-0.18,-0.13,0.03
120.33967614173889,-0.05,-0.69,-0.04,-0.05,0.01
120.54257392883301,-0.03,-1.41,-0.00,0.03,0.00
120.74573302268982,-0.05,-1.18,-0.17,-0.09,0.01
120.9496660232544,-0.07,-1.26,-0.21,-0.09,0.02
121.15369582176208,0.00,-1.41,-0.24,-0.10,0.02
