Used Foils:,wide_stiff_for_real
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,55
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
224.3090660572052,-0.02,21.70,-0.01,-0.00,-0.00
224.49871182441711,0.01,22.30,0.00,0.01,-0.00
224.68801283836365,-0.04,22.30,-0.05,0.00,-0.00
224.87720608711243,-0.01,22.20,-0.02,0.01,-0.00
225.06624603271484,-0.04,22.20,-0.04,0.00,-0.00
225.25543904304504,0.02,22.70,0.01,0.01,0.00
225.44459509849548,0.01,23.50,-0.00,0.01,-0.00
225.63406705856323,-0.27,22.10,-0.26,-0.00,-0.01
225.82328605651855,0.25,23.10,0.20,0.05,0.01
226.01244187355042,1.69,23.40,1.53,0.16,0.07
226.20198011398315,0.54,22.40,0.52,0.02,0.03
226.39090204238892,0.54,21.90,0.53,0.01,0.03
226.58013081550598,1.42,23.80,1.35,0.06,0.07
226.76954197883606,1.67,24.00,1.57,0.10,0.08
226.9592089653015,-0.38,23.50,-0.38,0.01,-0.02
227.1485149860382,-0.19,22.50,-0.19,0.00,-0.01
227.33717584609985,-0.01,23.10,-0.00,-0.00,0.00
227.5266489982605,1.31,23.80,1.01,0.30,0.04
227.71588492393494,0.34,21.90,0.27,0.07,0.01
227.90503692626953,1.02,23.00,0.96,0.06,0.05
228.09420800209045,1.22,24.00,1.15,0.07,0.06
228.28357696533203,1.01,24.00,0.97,0.03,0.05
228.47264909744263,-0.81,22.30,-0.80,-0.02,-0.04
228.66202878952026,-0.32,23.20,-0.31,-0.00,-0.02
228.85146498680115,1.31,23.90,1.04,0.27,0.04
229.04048895835876,0.77,22.40,0.65,0.12,0.03
229.2298309803009,0.25,22.10,0.24,0.01,0.01
229.41916298866272,1.26,23.80,1.17,0.09,0.06
229.60852694511414,1.63,24.00,1.52,0.10,0.07
229.79765582084656,-0.35,23.20,-0.36,0.02,-0.02
229.98713517189026,-0.47,22.50,-0.46,-0.00,-0.02
230.17589807510376,-0.02,23.10,-0.04,0.02,-0.00
230.3653609752655,1.46,23.60,1.17,0.29,0.05
230.55438709259033,0.21,22.00,0.19,0.01,0.01
230.74381494522095,1.03,22.90,0.99,0.04,0.05
230.93290781974792,1.42,23.90,1.34,0.07,0.07
231.12239289283752,1.08,23.90,1.03,0.05,0.05
231.31178092956543,-1.35,22.40,-1.34,-0.01,-0.07
231.50208115577698,-0.43,23.10,-0.43,-0.01,-0.02
231.68984603881836,0.78,23.80,0.72,0.06,0.03
231.878977060318,0.90,22.70,0.63,0.27,0.02
232.06819796562195,0.21,22.00,0.20,0.01,0.01
232.25764203071594,1.07,23.90,1.03,0.04,0.05
232.44683504104614,1.26,23.70,1.20,0.06,0.06
232.6360058784485,0.09,23.30,0.08,0.00,0.00
232.82524704933167,-0.59,22.10,-0.59,0.00,-0.03
233.01459312438965,-0.23,23.00,-0.24,0.02,-0.01
233.20403480529785,1.73,23.60,1.44,0.29,0.06
233.39305090904236,0.32,22.30,0.30,0.02,0.01
233.58556509017944,0.98,22.90,0.91,0.07,0.04
233.77163100242615,1.35,24.10,1.21,0.15,0.05
233.96099591255188,1.29,24.00,1.17,0.11,0.05
234.15036296844482,-0.93,22.60,-0.92,-0.01,-0.05
