Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,40
Pitch Amplitude:,65
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration, 10

Time,Fx,Fz,Mx,My,Mz
315.3715589046478,0.03,-2.59,0.22,0.25,-0.03
315.56016087532043,-0.16,0.16,-0.03,-0.02,0.02
315.74887204170227,0.29,1.23,-0.12,-0.15,0.03
315.9374358654022,1.36,2.18,-0.21,-0.24,-0.01
316.1262879371643,0.43,0.25,-0.04,-0.12,-0.00
316.31506991386414,-0.25,0.36,-0.04,-0.05,0.01
316.50410890579224,1.05,2.53,-0.24,-0.19,-0.00
316.6926338672638,1.91,4.86,-0.45,-0.42,0.00
316.88144183158875,1.49,2.57,-0.25,-0.14,0.01
317.0701267719269,-0.15,-1.64,0.13,0.10,0.00
317.2591350078583,-0.23,-0.56,0.04,0.01,0.01
317.44764971733093,-0.10,0.03,-0.02,-0.01,0.01
317.63646483421326,-0.12,-0.13,-0.00,0.03,0.00
317.82515597343445,-0.01,-0.07,-0.01,0.01,0.00
318.01372385025024,0.10,-1.37,0.11,0.20,-0.01
318.20247411727905,-0.33,-0.39,0.02,0.04,-0.00
318.39124488830566,0.12,0.86,-0.09,-0.09,0.02
318.58026790618896,1.57,2.69,-0.25,-0.28,-0.01
318.7689199447632,0.78,0.31,-0.04,-0.14,-0.01
318.95762395858765,-0.26,0.62,-0.07,-0.11,0.00
319.1466398239136,1.06,2.47,-0.23,-0.19,-0.00
319.33511996269226,1.62,4.29,-0.40,-0.36,-0.00
319.523717880249,1.55,2.25,-0.22,-0.14,0.00
319.71275877952576,-0.68,-2.69,0.23,0.24,-0.01
319.90105390548706,-0.44,-0.96,0.07,0.12,-0.00
320.0897328853607,-0.12,1.34,-0.13,-0.14,0.03
320.2784299850464,1.31,2.32,-0.22,-0.27,-0.00
320.4670009613037,0.97,-0.24,0.01,-0.09,-0.02
320.6557619571686,-0.38,0.90,-0.10,-0.11,0.01
320.8466057777405,1.18,2.61,-0.25,-0.20,-0.01
321.03316283226013,1.65,4.19,-0.39,-0.37,0.00
321.22194600105286,1.23,1.28,-0.13,-0.04,0.02
321.41153287887573,-1.02,-2.20,0.18,0.19,-0.01
321.5993800163269,-0.44,-0.78,0.05,0.10,0.01
321.7880480289459,0.21,1.86,-0.18,-0.18,0.03
321.97696685791016,1.66,1.93,-0.19,-0.26,-0.03
322.16517090797424,0.41,-0.13,-0.00,-0.06,-0.00
322.35409688949585,-0.14,1.04,-0.11,-0.09,0.01
322.5429039001465,1.07,2.80,-0.27,-0.23,0.00
322.7315390110016,1.74,4.44,-0.41,-0.39,0.00
322.9206528663635,1.30,-0.16,0.00,0.10,0.01
323.1092219352722,-1.00,-1.89,0.16,0.16,-0.01
323.2977077960968,-0.51,-0.42,0.02,0.06,0.01
323.48659896850586,0.56,2.23,-0.21,-0.23,0.02
323.6751329898834,1.48,1.42,-0.14,-0.24,-0.03
323.8640468120575,-0.13,-0.28,0.01,-0.04,0.01
324.0529508590698,0.41,1.38,-0.14,-0.11,-0.00
324.2412648200989,1.29,3.27,-0.31,-0.28,-0.00
324.43013095855713,1.80,4.32,-0.40,-0.36,0.01
324.61896777153015,0.89,-1.32,0.10,0.19,0.02
324.8076729774475,-0.97,-1.57,0.13,0.14,-0.01
324.99633288383484,-0.59,-0.12,-0.00,0.02,0.01
325.1850218772888,0.54,2.46,-0.23,-0.25,0.03
325.373822927475,1.57,1.06,-0.11,-0.17,-0.03
325.56241393089294,-0.02,-0.17,0.00,-0.02,-0.01
325.750972032547,0.18,1.40,-0.14,-0.10,0.01
325.9400358200073,1.35,3.31,-0.30,-0.29,-0.00
326.12848377227783,1.71,4.11,-0.38,-0.32,0.01
326.3173110485077,0.32,-2.36,0.20,0.26,0.02
326.5059018135071,-0.65,-1.08,0.09,0.11,-0.01
326.69528579711914,-0.43,0.40,-0.04,-0.04,0.01
326.88341093063354,1.02,2.61,-0.24,-0.27,0.01
327.07231092453003,1.25,0.65,-0.07,-0.15,-0.02
327.26175689697266,-0.42,0.10,-0.02,-0.07,0.01
327.4496080875397,0.62,1.54,-0.15,-0.13,0.00
327.63848090171814,1.44,3.94,-0.36,-0.34,0.00
327.8280289173126,1.86,3.44,-0.32,-0.24,0.01
328.01591992378235,0.32,-2.85,0.25,0.27,-0.01
328.2047770023346,-0.67,-0.72,0.05,0.09,0.00
