Used Foils:,cambered_foils_balloon_off
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,35
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
42.11880135536194,-0.07,0.00,-0.02,-0.06,0.00
42.30765914916992,-0.06,0.00,-0.01,-0.05,0.00
42.49542713165283,-0.03,0.00,0.01,-0.04,0.00
42.68367314338684,-0.01,0.00,0.02,-0.03,0.00
42.8722140789032,-0.01,0.00,-0.01,-0.01,0.00
43.06074810028076,-0.04,0.00,-0.01,-0.04,0.00
43.24829125404358,-0.05,0.00,-0.01,-0.04,0.00
43.43660521507263,0.01,0.00,-0.00,0.01,-0.00
43.62483525276184,0.70,0.00,0.04,0.66,-0.03
43.81381821632385,1.80,0.00,0.77,1.03,-0.01
44.00145101547241,0.61,0.00,0.42,0.19,0.01
44.18937015533447,0.43,0.00,0.13,0.30,-0.01
44.37812924385071,1.85,0.00,0.66,1.18,-0.03
44.56609010696411,1.32,0.00,0.62,0.70,-0.00
44.7544322013855,-0.02,0.00,0.02,-0.05,0.00
44.94240617752075,1.51,0.00,0.73,0.79,-0.00
45.13060927391052,1.95,0.00,1.10,0.85,0.01
45.31891107559204,0.23,0.00,0.29,-0.06,0.02
45.50709319114685,0.72,0.00,0.15,0.57,-0.02
45.69563436508179,1.76,0.00,0.57,1.19,-0.03
45.883883237838745,0.66,0.00,0.49,0.17,0.02
46.07190823554993,0.06,0.00,-0.03,0.09,-0.01
46.25993323326111,1.87,0.00,0.93,0.94,-0.00
46.44842028617859,1.50,0.00,0.98,0.51,0.02
46.63649821281433,0.24,0.00,0.20,0.04,0.01
46.82502722740173,1.23,0.00,0.41,0.82,-0.02
47.01308822631836,1.70,0.00,0.73,0.96,-0.01
47.20146322250366,0.05,0.00,0.13,-0.08,0.01
47.38947415351868,0.87,0.00,0.30,0.57,-0.01
47.577555418014526,2.08,0.00,1.07,1.01,0.00
47.7660653591156,0.46,0.00,0.42,0.05,0.02
47.95448923110962,0.43,0.00,0.08,0.35,-0.01
48.142354249954224,1.55,0.00,0.46,1.09,-0.03
48.33048415184021,1.10,0.00,0.58,0.52,0.00
48.5186870098114,-0.12,0.00,0.04,-0.16,0.01
48.707038164138794,1.46,0.00,0.60,0.86,-0.01
48.89512324333191,2.03,0.00,1.17,0.86,0.02
49.083396196365356,0.34,0.00,0.35,-0.02,0.02
49.27158212661743,0.81,0.00,0.11,0.70,-0.03
49.45989918708801,1.68,0.00,0.63,1.05,-0.02
49.64804935455322,0.40,0.00,0.28,0.12,0.01
49.83625411987305,0.44,0.00,0.16,0.28,-0.01
50.024519205093384,2.21,0.00,1.28,0.93,0.02
50.21275520324707,0.97,0.00,0.67,0.30,0.02
50.4009792804718,0.15,0.00,0.01,0.14,-0.01
50.5895631313324,1.33,0.00,0.40,0.92,-0.03
50.777913093566895,1.61,0.00,0.80,0.81,-0.00
50.96578526496887,0.13,0.00,0.23,-0.10,0.02
51.15433406829834,0.96,0.00,0.27,0.68,-0.02
51.34248614311218,2.04,0.00,1.18,0.86,0.02
51.53041625022888,0.57,0.00,0.52,0.05,0.02
51.718650341033936,0.51,0.00,0.04,0.47,-0.02
51.90702533721924,1.68,0.00,0.57,1.11,-0.03
