Used Foils:,wide_foils_off
Waterspeed:,0.0
Frequency:,0.4
Heave Amplitude:,38
Pitch Amplitude:,25
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
107.08888506889343,0.02,0.00,0.04,-0.02,0.00
107.27737283706665,0.08,0.00,0.06,0.02,0.00
107.46533608436584,0.06,0.00,0.03,0.03,-0.00
107.65365505218506,0.04,0.00,0.04,-0.00,0.00
107.84194779396057,0.02,0.00,0.03,-0.01,0.00
108.02994799613953,0.00,0.00,0.04,-0.03,0.00
108.21867799758911,-0.03,0.00,0.00,-0.03,0.00
108.40661406517029,0.06,0.00,0.04,0.01,0.00
108.59461688995361,0.01,0.00,0.02,-0.00,0.00
108.78280878067017,0.31,0.00,0.06,0.25,-0.01
108.97093510627747,0.96,0.00,0.30,0.66,-0.02
109.15932083129883,1.05,0.00,0.35,0.70,-0.02
109.34787797927856,0.77,0.00,0.34,0.44,-0.01
109.53557205200195,0.22,0.00,0.12,0.10,0.00
109.72386574745178,0.09,0.00,0.09,0.00,0.00
109.9120569229126,0.31,0.00,0.08,0.23,-0.01
110.10022687911987,0.83,0.00,0.28,0.54,-0.01
110.28849196434021,0.93,0.00,0.28,0.66,-0.02
110.47663998603821,1.01,0.00,0.26,0.75,-0.03
110.66484308242798,0.41,0.00,0.09,0.31,-0.01
110.85305690765381,0.11,0.00,0.04,0.07,-0.00
111.04132294654846,0.02,0.00,0.03,-0.02,0.00
111.22946310043335,0.29,0.00,0.14,0.15,-0.00
111.41821384429932,0.65,0.00,0.18,0.47,-0.02
111.60591292381287,0.96,0.00,0.37,0.59,-0.01
111.79434609413147,0.87,0.00,0.43,0.44,-0.00
111.98286890983582,0.30,0.00,0.21,0.08,0.01
112.1705379486084,0.20,0.00,0.17,0.03,0.01
112.35919690132141,0.22,0.00,0.09,0.13,-0.00
112.54729795455933,0.80,0.00,0.35,0.45,-0.01
112.73582482337952,0.81,0.00,0.29,0.52,-0.01
112.92364287376404,0.95,0.00,0.33,0.62,-0.01
113.11171579360962,0.69,0.00,0.21,0.48,-0.01
113.30008506774902,0.24,0.00,0.07,0.17,-0.01
113.48859691619873,-0.01,0.00,0.03,-0.04,0.00
113.67630386352539,0.24,0.00,0.11,0.13,-0.00
113.86464381217957,0.59,0.00,0.19,0.41,-0.01
114.05288600921631,0.77,0.00,0.22,0.55,-0.02
114.24094796180725,0.73,0.00,0.37,0.36,0.00
114.4297399520874,0.63,0.00,0.32,0.32,0.00
114.61756706237793,0.17,0.00,0.14,0.03,0.01
114.80611681938171,0.18,0.00,0.05,0.13,-0.00
114.99415874481201,0.70,0.00,0.36,0.34,0.00
115.18207478523254,0.69,0.00,0.28,0.40,-0.01
115.3703260421753,0.82,0.00,0.30,0.52,-0.01
115.5585207939148,0.73,0.00,0.20,0.53,-0.02
115.74673795700073,0.30,0.00,0.04,0.26,-0.01
115.93497085571289,0.01,0.00,0.03,-0.02,0.00
116.12347388267517,0.04,0.00,0.04,-0.00,0.00
116.31136202812195,0.46,0.00,0.24,0.23,0.00
116.49962496757507,0.74,0.00,0.21,0.53,-0.02
116.68786692619324,0.72,0.00,0.37,0.35,0.00
116.87598490715027,0.83,0.00,0.47,0.36,0.01
117.06441497802734,0.18,0.00,0.09,0.09,0.00
