Used Foils:,wide_foils_winglets
Waterspeed:,0.0
Frequency:,0.7
Heave Amplitude:,38
Pitch Amplitude:,60
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
276.3083200454712,-0.03,0.00,-0.06,0.03,-0.00
276.4970190525055,0.01,0.00,-0.02,0.03,-0.00
276.6853952407837,0.03,0.00,0.00,0.03,-0.00
276.8748290538788,-0.01,0.00,-0.04,0.03,-0.00
277.0633499622345,0.02,0.00,-0.01,0.03,-0.00
277.25158405303955,0.01,0.00,-0.02,0.03,-0.00
277.44026589393616,0.02,0.00,-0.01,0.03,-0.00
277.6286211013794,-0.10,0.00,-0.12,0.03,-0.01
277.81749510765076,0.21,0.00,0.14,0.08,0.00
278.0063569545746,1.34,0.00,0.98,0.36,0.03
278.19608902931213,1.59,0.00,1.18,0.41,0.04
278.3834512233734,-0.46,0.00,-0.50,0.05,-0.03
278.57241916656494,1.59,0.00,1.24,0.35,0.05
278.76100301742554,2.15,0.00,1.58,0.58,0.05
278.94981813430786,1.59,0.00,1.31,0.28,0.05
279.13830614089966,-1.09,0.00,-1.14,0.05,-0.06
279.32680320739746,1.38,0.00,0.66,0.72,-0.00
279.51562905311584,1.78,0.00,1.12,0.66,0.02
279.704087972641,0.58,0.00,0.23,0.35,-0.01
279.89292907714844,-0.04,0.00,-0.11,0.07,-0.01
280.0814142227173,1.63,0.00,0.85,0.79,0.00
280.2704031467438,1.97,0.00,1.12,0.85,0.01
280.45885729789734,0.06,0.00,-0.32,0.38,-0.04
280.6476721763611,0.33,0.00,0.22,0.11,0.01
280.83654022216797,0.88,0.00,0.53,0.35,0.01
281.0248382091522,1.86,0.00,1.30,0.57,0.04
281.2134680747986,-0.74,0.00,-0.77,0.03,-0.04
281.4018712043762,1.18,0.00,0.58,0.60,-0.00
281.590665102005,2.20,0.00,1.32,0.87,0.02
281.77886414527893,2.17,0.00,1.42,0.75,0.03
281.96752309799194,-1.40,0.00,-1.42,0.02,-0.07
282.15643429756165,1.24,0.00,0.74,0.50,0.01
282.34505796432495,1.19,0.00,0.91,0.28,0.03
282.53361201286316,0.95,0.00,0.41,0.55,-0.01
282.7221932411194,-0.19,0.00,-0.22,0.03,-0.01
282.91109824180603,1.85,0.00,1.15,0.70,0.02
283.0999140739441,2.45,0.00,1.60,0.86,0.04
283.28851294517517,0.29,0.00,0.18,0.12,0.00
283.47688603401184,-0.16,0.00,-0.32,0.16,-0.02
283.6658492088318,0.96,0.00,0.62,0.34,0.01
283.8541979789734,1.71,0.00,1.33,0.38,0.05
284.042973279953,-0.38,0.00,-0.46,0.09,-0.03
284.23169112205505,0.83,0.00,0.48,0.35,0.01
284.4203681945801,2.08,0.00,1.16,0.92,0.01
284.60900807380676,2.40,0.00,1.51,0.89,0.03
284.79760098457336,-1.24,0.00,-1.34,0.10,-0.07
284.9862630367279,1.03,0.00,0.84,0.19,0.03
285.17510294914246,1.12,0.00,0.92,0.20,0.04
285.3635640144348,1.08,0.00,0.91,0.18,0.04
285.5527801513672,-0.23,0.00,-0.33,0.10,-0.02
285.7410879135132,1.62,0.00,0.62,1.00,-0.02
285.92920899391174,2.33,0.00,1.32,1.01,0.02
286.11809825897217,1.21,0.00,0.70,0.51,0.01
