Used Foils:,stingray
Waterspeed:,0.0
Frequency:,0.5
Heave Amplitude:,38
Pitch Amplitude:,55
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
29.230498790740967,-0.01,0.00,0.02,-0.02,0.00
29.41918396949768,0.01,0.00,0.03,-0.02,0.00
29.607834815979004,0.02,0.00,0.04,-0.02,0.00
29.796602964401245,0.02,0.00,0.04,-0.02,0.00
29.985423803329468,0.01,0.00,0.03,-0.02,0.00
30.173650979995728,0.00,0.00,0.02,-0.02,0.00
30.362475872039795,0.05,0.00,0.04,0.01,0.00
30.551151752471924,-0.26,0.00,-0.25,-0.01,-0.01
30.73963975906372,0.17,0.00,0.01,0.16,-0.01
30.927995920181274,0.49,0.00,0.03,0.46,-0.02
31.117383003234863,1.05,0.00,0.29,0.76,-0.02
31.305880784988403,0.66,0.00,0.19,0.47,-0.01
31.493942737579346,-0.11,0.00,-0.08,-0.03,-0.00
31.682621002197266,0.88,0.00,0.20,0.68,-0.02
31.871266841888428,0.82,0.00,0.12,0.71,-0.03
32.06003785133362,1.18,0.00,0.44,0.74,-0.02
32.24865174293518,0.94,0.00,0.47,0.47,0.00
32.43733191490173,-0.17,0.00,-0.14,-0.03,-0.01
32.626025915145874,-0.01,0.00,0.01,-0.02,0.00
32.814626693725586,0.05,0.00,0.02,0.03,-0.00
33.0034499168396,0.65,0.00,0.06,0.60,-0.03
33.1920428276062,1.48,0.00,0.44,1.03,-0.03
33.38083481788635,0.61,0.00,0.03,0.58,-0.03
33.56944680213928,0.13,0.00,0.02,0.11,-0.00
33.75803279876709,1.06,0.00,0.18,0.88,-0.04
33.948166847229004,1.07,0.00,0.24,0.83,-0.03
34.13542580604553,1.24,0.00,0.48,0.76,-0.01
34.3236289024353,0.50,0.00,0.26,0.24,0.00
34.51254200935364,-0.16,0.00,-0.12,-0.04,-0.00
34.701364040374756,0.15,0.00,0.03,0.12,-0.00
34.88988184928894,0.36,0.00,0.01,0.35,-0.02
35.0787079334259,0.77,0.00,0.26,0.50,-0.01
35.26708388328552,1.08,0.00,0.29,0.79,-0.03
35.455986976623535,0.10,0.00,-0.04,0.14,-0.01
35.64475083351135,0.50,0.00,0.11,0.39,-0.01
35.83328080177307,0.73,0.00,0.11,0.62,-0.03
36.0222589969635,1.14,0.00,0.42,0.72,-0.02
36.21091675758362,1.09,0.00,0.60,0.50,0.01
36.399292945861816,-0.19,0.00,-0.18,-0.02,-0.01
36.58821892738342,0.04,0.00,0.03,0.02,0.00
36.77687478065491,0.22,0.00,0.01,0.21,-0.01
36.96520400047302,0.48,0.00,0.07,0.42,-0.02
37.1541588306427,1.25,0.00,0.58,0.66,-0.00
37.342445850372314,0.68,0.00,0.19,0.49,-0.02
37.531208992004395,-0.01,0.00,-0.00,-0.01,0.00
37.719857931137085,1.02,0.00,0.21,0.82,-0.03
37.90864372253418,0.81,0.00,0.12,0.69,-0.03
38.097564935684204,1.10,0.00,0.45,0.65,-0.01
38.285959005355835,0.59,0.00,0.33,0.26,0.00
38.47461795806885,-0.24,0.00,-0.20,-0.04,-0.01
38.66330885887146,0.04,0.00,0.04,0.01,0.00
38.85207486152649,0.35,0.00,0.02,0.33,-0.02
39.04069995880127,0.78,0.00,0.29,0.49,-0.01
