Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.4
Heave Amplitude:,40
Pitch Amplitude:,45
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
80.14868688583374,59.11,70.13,109.87,6820.00,0.00
80.22003197669983,55.69,81.68,98.32,6144.00,0.00
81.31529784202576,55.67,98.21,81.79,2238.00,0.00
81.38729691505432,57.59,105.93,74.07,1806.00,0.00
81.45941686630249,60.75,113.25,66.75,1556.00,0.00
81.53149390220642,65.10,119.89,60.11,2480.00,0.00
81.60312414169312,70.29,125.38,54.62,3104.00,0.00
81.67485690116882,76.35,129.81,50.19,2578.00,0.00
81.74696397781372,83.02,132.94,47.06,2054.00,0.00
81.8185727596283,90.09,134.66,45.34,4200.00,0.00
81.89051079750061,97.31,134.92,45.08,976.00,0.00
81.96365189552307,104.46,133.72,46.28,3720.00,0.00
82.03568387031555,111.21,131.14,48.86,3126.00,0.00
82.10759210586548,117.61,127.12,52.88,1828.00,0.00
82.17957997322083,123.18,121.94,58.06,3076.00,0.00
82.2515389919281,127.88,115.62,64.38,1530.00,0.00
82.32357692718506,131.40,108.65,71.35,2536.00,0.00
82.39552593231201,133.79,100.97,79.03,3810.00,0.00
82.46676111221313,134.92,92.83,87.17,548.00,0.00
82.53893995285034,134.73,84.81,95.19,1508.00,0.00
82.61195874214172,133.25,76.85,103.15,3804.00,0.00
82.68402481079102,130.53,69.32,110.68,1786.00,0.00
82.7556459903717,126.64,62.46,117.54,6476.00,0.00
82.82780194282532,121.72,56.51,123.49,1212.00,0.00
82.8994619846344,115.92,51.65,128.35,3762.00,0.00
82.97187995910645,109.44,48.04,131.96,2536.00,0.00
83.04405784606934,102.50,45.80,134.20,3774.00,0.00
83.11574006080627,95.30,45.00,135.00,5020.00,0.00
83.18715977668762,88.10,45.67,134.33,3388.00,0.00
83.2592179775238,81.12,47.80,132.20,5044.00,0.00
83.33111691474915,74.60,51.30,128.70,3122.00,0.00
83.40312194824219,68.66,56.13,123.87,4824.00,0.00
83.47530698776245,63.74,61.93,118.07,6154.00,0.00
83.54735994338989,59.76,68.72,111.28,3912.00,0.00
83.61918187141418,56.90,76.31,103.69,3548.00,0.00
83.69058394432068,55.34,84.14,95.86,5116.00,0.00
83.76221299171448,55.05,92.26,87.74,2104.00,0.00
83.8339569568634,56.06,100.31,79.69,576.00,0.00
83.90634512901306,58.31,107.92,72.08,2576.00,0.00
83.97871494293213,61.78,115.06,64.94,1690.00,0.00
84.0502438545227,66.40,121.46,58.54,1678.00,0.00
84.12232899665833,71.82,126.67,53.33,1478.00,0.00
84.19420504570007,78.06,130.77,49.23,2634.00,0.00
84.26593589782715,84.86,133.53,46.47,1300.00,0.00
84.3379259109497,91.99,134.87,45.13,2232.00,0.00
