Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,40
Pitch Amplitude:,45
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
60.22661590576172,0.25,36.57,6.62,0.02,-0.01
60.415627002716064,0.14,36.83,6.64,-0.02,-0.00
60.60416007041931,0.09,36.91,6.56,-0.05,-0.01
60.793334007263184,0.38,36.75,6.21,-0.21,-0.02
60.98181414604187,0.87,36.25,6.20,-0.19,-0.04
61.17077994346619,0.56,36.08,6.34,-0.10,-0.03
61.3598690032959,0.36,36.34,6.48,-0.07,-0.02
61.54901695251465,0.08,36.72,6.53,-0.03,-0.01
61.73761701583862,0.18,37.74,6.55,-0.08,-0.01
61.92663884162903,0.81,39.67,6.54,-0.13,0.01
62.11568093299866,0.74,39.08,6.47,-0.15,-0.00
62.30475187301636,0.73,39.24,6.44,-0.18,-0.01
62.49373388290405,0.53,37.82,6.51,-0.04,-0.01
62.68279504776001,0.21,36.83,6.56,-0.02,-0.01
62.87167191505432,0.14,36.77,6.61,-0.03,-0.01
63.06018280982971,0.10,37.07,6.60,-0.03,-0.00
63.249255895614624,0.08,37.02,6.58,-0.03,-0.01
63.43836283683777,0.12,36.94,6.58,-0.02,-0.01
63.62753105163574,0.14,37.01,6.64,-0.01,-0.00
63.816359996795654,0.24,36.87,6.87,0.12,-0.00
64.00504302978516,-0.02,38.07,5.95,-0.40,0.02
64.19387102127075,1.71,19.80,2.44,-0.56,-0.03
64.38308906555176,1.47,5.40,1.10,-0.16,-0.08
64.57185387611389,0.52,39.14,6.18,-0.30,-0.01
64.76128482818604,2.16,20.93,2.02,-0.56,-0.02
64.94999194145203,1.94,6.15,0.28,-0.16,0.01
65.13837099075317,-0.66,27.80,5.51,0.14,0.00
65.3279058933258,0.89,30.16,4.28,-0.53,-0.02
65.51656794548035,2.10,6.95,0.73,-0.42,-0.07
65.7054181098938,0.02,12.50,2.28,-0.08,-0.02
65.89460301399231,1.14,30.17,3.85,-0.47,-0.01
66.0835349559784,2.71,20.51,1.87,-0.55,-0.02
66.27233386039734,1.43,7.30,1.41,0.15,-0.01
66.46145176887512,-0.74,1.12,0.11,-0.07,0.01
66.65018701553345,1.24,10.87,0.79,-0.53,-0.02
66.83930778503418,1.69,5.09,0.86,-0.25,-0.09
67.02806305885315,-0.25,1.44,-0.05,-0.18,-0.01
67.2167809009552,2.22,18.17,1.45,-0.57,-0.03
67.40616798400879,2.22,32.23,4.30,-0.38,0.00
67.59480094909668,-0.18,10.09,2.48,0.23,0.00
67.78401803970337,0.10,6.12,0.24,-0.40,0.01
67.97309184074402,2.00,17.29,2.24,-0.51,-0.07
68.16172695159912,0.40,22.43,4.14,-0.11,-0.04
68.35098505020142,0.08,14.88,1.44,-0.40,-0.01
68.53967499732971,2.09,39.94,5.42,-0.54,-0.05
68.72851490974426,1.81,21.03,3.35,0.00,0.00
68.91742706298828,-0.75,-0.38,0.19,0.03,-0.00
69.10634398460388,0.67,15.89,1.64,-0.53,-0.00
69.29530501365662,1.79,15.62,2.47,-0.35,-0.07
69.4842541217804,0.25,3.76,0.53,-0.09,-0.03
69.67315006256104,1.29,10.58,0.44,-0.44,-0.05
69.86236691474915,1.86,34.43,4.43,-0.50,-0.02
70.05106210708618,0.45,9.29,2.14,0.20,0.01
