Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.8
Heave Amplitude:,38
Pitch Amplitude:,55
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Heave_pos,Pitch_right,Pitch_left,Power_consumption,Noise
536.4104127883911,57.00,90.00,90.00,132.00,0.00
537.4341239929199,
537.5067110061646,59.53,109.73,70.27,4234.00,0.00
537.5784678459167,66.53,126.42,53.58,6540.00,0.00
537.6507399082184,77.28,138.66,41.34,5832.00,0.00
537.7227008342743,90.52,144.62,35.38,4282.00,0.00
537.7955830097198,103.99,143.44,36.56,3250.00,0.00
537.8674890995026,116.48,135.37,44.63,2150.00,0.00
537.9396109580994,126.29,121.20,58.80,7908.00,0.00
538.0118060112,131.85,103.41,76.59,8002.00,0.00
538.0832679271698,132.72,83.38,96.62,5974.00,0.00
538.1556289196014,128.66,64.48,115.52,5080.00,0.00
538.227607011795,120.38,49.07,130.93,4404.00,0.00
538.2996361255646,108.54,38.61,141.39,7962.00,0.00
538.3715300559998,95.10,35.00,145.00,4346.00,0.00
538.4437110424042,81.63,38.51,141.49,4178.00,0.00
538.5156359672546,69.91,48.70,131.30,5770.00,0.00
538.5876927375793,61.43,64.23,115.77,7190.00,0.00
538.6594398021698,57.28,83.38,96.62,8042.00,0.00
538.7315621376038,58.06,102.87,77.13,7032.00,0.00
538.803713798523,63.60,120.97,59.03,3860.00,0.00
538.8757598400116,73.21,135.06,44.94,6636.00,0.00
538.947860956192,85.64,143.31,36.69,3566.00,0.00
539.0195300579071,99.29,144.65,35.35,3024.00,0.00
539.0926311016083,112.38,138.91,41.09,3222.00,0.00
539.1643228530884,123.22,126.84,53.16,4598.00,0.00
539.2364990711212,130.40,109.99,70.01,7310.00,0.00
539.3085269927979,133.00,90.28,89.72,7238.00,0.00
539.3806097507477,130.67,71.04,108.96,9244.00,0.00
539.4525897502899,123.60,53.78,126.22,6478.00,0.00
539.5248861312866,112.89,41.47,138.53,6986.00,0.00
539.5962109565735,99.67,35.42,144.58,5940.00,0.00
539.6686489582062,86.20,36.50,143.50,3844.00,0.00
539.7407739162445,73.68,44.47,135.53,5164.00,0.00
539.812891960144,63.81,58.57,121.43,8650.00,0.00
539.8849799633026,58.19,76.32,103.68,9104.00,0.00
539.9562571048737,57.23,96.07,83.93,7298.00,0.00
540.0291018486023,61.25,115.28,64.72,3992.00,0.00
540.1010808944702,69.48,130.75,49.25,6792.00,0.00
540.172905921936,81.10,141.19,38.81,6904.00,0.00
540.2443428039551,94.71,145.00,35.00,3706.00,0.00
540.3171100616455,108.01,141.68,38.32,4378.00,0.00
540.3898429870605,119.95,131.48,48.52,2336.00,0.00
540.4617619514465,128.48,116.01,63.99,7508.00,0.00
540.5333037376404,132.65,97.44,82.56,7268.00,0.00
540.6063320636749,131.99,77.40,102.60,5692.00,0.00
540.6783108711243,126.51,59.26,120.74,7848.00,0.00
540.7506098747253,116.79,44.94,135.06,5590.00,0.00
540.822546005249,104.54,36.76,143.24,6262.00,0.00
540.8939158916473,90.71,35.35,144.65,3624.00,0.00
540.966197013855,77.62,41.09,138.91,2500.00,0.00
541.0381879806519,66.91,52.96,127.04,7970.00,0.00
541.1102089881897,59.60,70.01,109.99,5288.00,0.00
541.1815419197083,57.00,89.45,90.55,7950.00,0.00
541.254490852356,59.26,108.70,71.30,6848.00,0.00
541.3264610767365,66.28,126.01,53.99,5922.00,0.00
541.3983099460602,76.94,138.40,41.60,6780.00,0.00
541.4702620506287,89.76,144.48,35.52,3460.00,0.00
541.5428690910339,103.62,143.57,36.43,2144.00,0.00
541.6150600910187,116.16,135.68,44.32,5446.00,0.00
541.6870920658112,125.97,121.88,58.12,2398.00,0.00
541.7591938972473,131.76,103.95,76.05,8950.00,0.00
541.831084728241,132.77,83.93,96.07,4932.00,0.00
541.903482913971,128.84,64.97,115.03,6956.00,0.00
541.9759900569916,120.66,49.44,130.56,6780.00,0.00
542.0479860305786,108.90,38.81,141.19,3330.00,0.00
542.119491815567,95.48,35.00,145.00,4208.00,0.00
542.191428899765,81.99,38.32,141.68,4548.00,0.00
542.2633099555969,70.19,48.34,131.66,4604.00,0.00
542.3355438709259,61.61,63.75,116.25,8592.00,0.00
542.407194852829,57.35,82.56,97.44,7570.00,0.00
542.479691028595,57.97,102.33,77.67,6554.00,0.00
542.5516409873962,63.38,120.51,59.49,5436.00,0.00
542.6238639354706,72.90,134.74,45.26,6974.00,0.00
542.6958730220795,85.27,143.17,36.83,7176.00,0.00
542.7681050300598,98.91,144.71,35.29,2834.00,0.00
542.840754032135,112.21,139.04,40.96,3428.00,0.00
542.9127359390259,122.96,127.25,52.75,5328.00,0.00
542.9850068092346,130.33,110.25,69.75,7762.00,0.00
543.0568389892578,133.00,90.83,89.17,6960.00,0.00
543.1292927265167,130.74,71.30,108.70,3608.00,0.00
543.2014150619507,123.85,54.20,125.80,7002.00,0.00
543.2739989757538,113.05,41.60,138.40,6662.00,0.00
543.345999956131,100.24,35.52,144.48,6856.00,0.00
543.4175498485565,86.38,36.43,143.57,4250.00,0.00
543.48956990242,73.84,44.32,135.68,4420.00,0.00
543.5617809295654,64.15,57.90,122.10,6694.00,0.00
543.6336798667908,58.24,76.05,103.95,9814.00,0.00
543.7046370506287,57.21,95.79,84.21,7268.00,0.00
543.7772619724274,60.99,114.54,65.46,6030.00,0.00
543.8493068218231,69.34,130.56,49.44,4516.00,0.00
543.9216010570526,80.92,141.09,38.91,7334.00,0.00
543.9936320781708,94.33,144.99,35.01,2940.00,0.00
544.0665249824524,107.83,141.77,38.23,1422.00,0.00
544.1381158828735,119.66,131.84,48.16,6416.00,0.00
544.210275888443,128.39,116.25,63.75,5020.00,0.00
544.2819590568542,132.62,97.72,82.28,6856.00,0.00
544.3546488285065,132.03,77.67,102.33,5816.00,0.00
544.4266908168793,126.62,59.49,120.51,5882.00,0.00
544.4986898899078,117.10,45.26,134.74,5476.00,0.00
544.5711901187897,104.73,36.83,143.17,4840.00,0.00
544.6429598331451,90.90,35.32,144.68,3920.00,0.00
544.7147841453552,77.96,40.84,139.16,5784.00,0.00
544.7869119644165,67.04,52.75,127.25,7490.00,0.00
544.8591928482056,59.67,69.75,110.25,8578.00,0.00
544.9309849739075,57.00,89.17,90.83,9404.00,0.00
545.0033459663391,59.20,108.44,71.56,5712.00,0.00
545.0758039951324,66.15,125.80,54.20,6276.00,0.00
545.1477630138397,76.78,138.26,41.74,4692.00,0.00
545.2191679477692,89.57,144.44,35.56,5692.00,0.00
545.2920529842377,103.43,143.63,36.37,1354.00,0.00
545.3645088672638,116.00,135.84,44.16,2684.00,0.00
545.4363899230957,125.85,122.10,57.90,7258.00,0.00
545.5089108943939,131.71,104.21,75.79,7084.00,0.00
545.5804958343506,132.79,84.21,95.79,6308.00,0.00
545.6532838344574,129.01,65.46,114.54,6802.00,0.00
545.7253749370575,120.66,49.44,130.56,5626.00,0.00
545.7967717647552,109.08,38.91,141.09,7098.00,0.00
545.868350982666,95.48,35.00,145.00,1916.00,0.00
545.9404439926147,82.17,38.23,141.77,4336.00,0.00
546.0129580497742,70.19,48.34,131.66,6966.00,0.00
546.0850577354431,61.61,63.75,116.25,7680.00,0.00
546.156830072403,57.38,82.28,97.72,9240.00,0.00
546.2289628982544,57.97,102.33,77.67,7418.00,0.00
546.3011689186096,63.38,120.51,59.49,5662.00,0.00
546.3730368614197,72.74,134.58,45.42,7678.00,0.00
