Used Foils:,stiff_foils
Waterspeed:,0.0
Frequency:,0.6
Heave Amplitude:,38
Pitch Amplitude:,15
Camber Amplitude,90
Pitch Phase,0
Camber Phase,0
Turn Rate,0
Test Duration,10

Time,Fx,Fz,Mx,My,Mz
146.17905592918396,-0.01,0.00,0.00,-0.01,0.00
146.36762285232544,-0.03,0.00,-0.02,-0.01,-0.00
146.55539298057556,-0.01,0.00,-0.00,-0.01,0.00
146.7439570426941,-0.01,0.00,-0.00,-0.01,0.00
146.9317319393158,-0.03,0.00,-0.01,-0.02,0.00
147.12010288238525,-0.04,0.00,-0.02,-0.03,0.00
147.3082308769226,-0.00,0.00,-0.01,0.00,-0.00
147.4966390132904,-0.04,0.00,0.01,-0.04,0.00
147.6844789981842,0.57,0.00,0.22,0.35,-0.01
147.87318515777588,0.65,0.00,0.45,0.20,0.01
148.06129097938538,0.34,0.00,0.16,0.18,-0.00
148.25034594535828,0.25,0.00,0.15,0.10,0.00
148.43748593330383,0.76,0.00,0.37,0.40,-0.00
148.62569499015808,1.16,0.00,0.63,0.54,0.00
148.81422090530396,1.17,0.00,0.70,0.46,0.01
149.00199604034424,0.21,0.00,0.14,0.06,0.00
149.19015789031982,-0.06,0.00,-0.02,-0.04,0.00
149.37886095046997,0.66,0.00,0.15,0.51,-0.02
149.56686997413635,0.88,0.00,0.63,0.25,0.02
149.75484490394592,0.37,0.00,0.22,0.15,0.00
149.94351601600647,0.25,0.00,0.11,0.14,-0.00
150.13149905204773,0.76,0.00,0.36,0.40,-0.00
150.3198390007019,1.06,0.00,0.57,0.49,0.00
150.50799179077148,0.93,0.00,0.56,0.37,0.01
150.69644975662231,0.04,0.00,0.03,0.01,0.00
150.88463592529297,0.02,0.00,-0.01,0.03,-0.00
151.0724380016327,0.68,0.00,0.20,0.48,-0.01
151.26080894470215,0.73,0.00,0.52,0.21,0.02
151.44918394088745,0.15,0.00,0.11,0.05,0.00
151.63759112358093,0.17,0.00,0.06,0.11,-0.00
151.82530093193054,0.81,0.00,0.41,0.40,0.00
152.0139079093933,1.11,0.00,0.60,0.51,0.00
152.2019500732422,0.80,0.00,0.56,0.23,0.02
152.39029097557068,0.19,0.00,0.12,0.07,0.00
152.5783929824829,0.05,0.00,-0.01,0.06,-0.00
152.76665091514587,0.54,0.00,0.18,0.35,-0.01
152.95494890213013,0.77,0.00,0.45,0.32,0.01
153.14297604560852,0.13,0.00,0.11,0.03,0.00
153.331444978714,0.41,0.00,0.24,0.17,0.00
153.5195710659027,0.91,0.00,0.51,0.41,0.01
153.70789885520935,1.12,0.00,0.48,0.64,-0.01
153.8957679271698,0.74,0.00,0.47,0.27,0.01
154.08460593223572,-0.03,0.00,-0.02,-0.01,-0.00
154.27266001701355,-0.07,0.00,-0.01,-0.06,0.00
154.4607858657837,0.86,0.00,0.47,0.38,0.00
154.64914798736572,0.65,0.00,0.32,0.33,-0.00
154.83707404136658,0.09,0.00,0.03,0.06,-0.00
155.02565693855286,0.24,0.00,0.12,0.12,0.00
155.2133948802948,1.02,0.00,0.55,0.47,0.00
155.4017629623413,1.15,0.00,0.56,0.59,-0.00
155.59001302719116,0.64,0.00,0.47,0.16,0.02
155.7781467437744,0.07,0.00,0.06,0.01,0.00
155.96621799468994,0.22,0.00,0.21,0.02,0.01
